[main] 10/800 tasks  1.6s  rows=130
[main] 20/800 tasks  3.1s  rows=260
[main] 30/800 tasks  11.6s  rows=390
[main] 40/800 tasks  19.2s  rows=520
[main] 50/800 tasks  23.7s  rows=650
[main] 60/800 tasks  32.7s  rows=780
[main] 70/800 tasks  39.4s  rows=910
[main] 80/800 tasks  42.1s  rows=1040
[main] 90/800 tasks  46.6s  rows=1170
[main] 100/800 tasks  53.7s  rows=1300
[main] 110/800 tasks  81.1s  rows=1430
[main] 120/800 tasks  92.8s  rows=1560
[main] 130/800 tasks  98.4s  rows=1690
[main] 140/800 tasks  101.7s  rows=1820
[main] 150/800 tasks  109.1s  rows=1950
[main] 160/800 tasks  115.1s  rows=2080
[main] 170/800 tasks  118.2s  rows=2210
[main] 180/800 tasks  122.2s  rows=2340
[main] 190/800 tasks  129.2s  rows=2470
[main] 200/800 tasks  132.9s  rows=2600
[main] 210/800 tasks  137.0s  rows=2730
[main] 220/800 tasks  140.5s  rows=2860
[main] 230/800 tasks  159.9s  rows=2990
[main] 240/800 tasks  172.7s  rows=3120
[main] 250/800 tasks  178.4s  rows=3250
[main] 260/800 tasks  182.6s  rows=3380
[main] 270/800 tasks  190.5s  rows=3510
[main] 280/800 tasks  193.5s  rows=3640
[main] 290/800 tasks  195.3s  rows=3770
[main] 300/800 tasks  202.1s  rows=3900
[main] 310/800 tasks  208.0s  rows=4030
[main] 320/800 tasks  214.4s  rows=4160
[main] 330/800 tasks  224.4s  rows=4290
[main] 340/800 tasks  235.0s  rows=4420
[main] 350/800 tasks  241.0s  rows=4550
[main] 360/800 tasks  258.0s  rows=4680
[main] 370/800 tasks  278.0s  rows=4810
[main] 380/800 tasks  293.3s  rows=4940
[main] 390/800 tasks  309.5s  rows=5070
[main] 400/800 tasks  316.7s  rows=5200
[main] 410/800 tasks  350.6s  rows=5330
[main] 420/800 tasks  375.1s  rows=5460
[main] 430/800 tasks  381.9s  rows=5590
[main] 440/800 tasks  415.3s  rows=5720
[main] 450/800 tasks  467.8s  rows=5850
[main] 460/800 tasks  489.7s  rows=5980
[main] 470/800 tasks  504.7s  rows=6110
[main] 480/800 tasks  515.5s  rows=6240
[main] 490/800 tasks  536.5s  rows=6370
[main] 500/800 tasks  544.7s  rows=6500
[main] 510/800 tasks  549.0s  rows=6630
[main] 520/800 tasks  558.7s  rows=6760
[main] 530/800 tasks  575.2s  rows=6890
[main] 540/800 tasks  585.4s  rows=7020
[main] 550/800 tasks  588.6s  rows=7150
[main] 560/800 tasks  590.8s  rows=7280
[main] 570/800 tasks  597.7s  rows=7410
[main] 580/800 tasks  606.2s  rows=7540
[main] 590/800 tasks  629.4s  rows=7670
[main] 600/800 tasks  648.3s  rows=7800
[main] 610/800 tasks  653.7s  rows=7930
[main] 620/800 tasks  663.2s  rows=8060
[main] 630/800 tasks  670.8s  rows=8190
[main] 640/800 tasks  678.6s  rows=8320
[main] 650/800 tasks  685.6s  rows=8450
[main] 660/800 tasks  689.2s  rows=8580
[main] 670/800 tasks  712.5s  rows=8710
[main] 680/800 tasks  730.2s  rows=8840
[main] 690/800 tasks  741.9s  rows=8970
[main] 700/800 tasks  747.5s  rows=9100
[main] 710/800 tasks  751.0s  rows=9230
[main] 720/800 tasks  768.6s  rows=9360
[main] 730/800 tasks  773.4s  rows=9490
[main] 740/800 tasks  775.5s  rows=9620
[main] 750/800 tasks  779.3s  rows=9750
[main] 760/800 tasks  782.3s  rows=9880
[main] 770/800 tasks  786.3s  rows=10010
[main] 780/800 tasks  802.0s  rows=10140
[main] 790/800 tasks  805.3s  rows=10270
[main] 800/800 tasks  813.4s  rows=10400
wrote results\main_p23.csv 10400 rows in 819.9s
