[main] 10/400 tasks  4.7s  rows=180
[main] 20/400 tasks  11.4s  rows=360
[main] 30/400 tasks  19.6s  rows=540
[main] 40/400 tasks  25.0s  rows=700
[main] 50/400 tasks  32.0s  rows=860
[main] 60/400 tasks  44.5s  rows=1040
[main] 70/400 tasks  73.6s  rows=1194
[main] 80/400 tasks  84.9s  rows=1348
[main] 90/400 tasks  94.6s  rows=1522
[main] 100/400 tasks  116.1s  rows=1696
[main] 110/400 tasks  183.9s  rows=1826
[main] 120/400 tasks  221.9s  rows=1968
[main] 130/400 tasks  245.0s  rows=2102
[main] 140/400 tasks  255.0s  rows=2282
[main] 150/400 tasks  287.3s  rows=2442
[main] 160/400 tasks  324.7s  rows=2604
[main] 170/400 tasks  335.1s  rows=2778
[main] 180/400 tasks  354.8s  rows=2942
[main] 190/400 tasks  369.7s  rows=3092
[main] 200/400 tasks  379.7s  rows=3272
[main] 210/400 tasks  407.4s  rows=3430
[main] 220/400 tasks  423.1s  rows=3560
[main] 230/400 tasks  452.6s  rows=3704
[main] 240/400 tasks  519.6s  rows=3872
[main] 250/400 tasks  546.4s  rows=4030
[main] 260/400 tasks  600.1s  rows=4194
[main] 270/400 tasks  621.4s  rows=4362
[main] 280/400 tasks  729.0s  rows=4526
[main] 290/400 tasks  772.2s  rows=4652
[main] 300/400 tasks  886.9s  rows=4806
[main] 310/400 tasks  966.7s  rows=4956
[main] 320/400 tasks  1095.4s  rows=5120
[main] 330/400 tasks  1213.5s  rows=5220
[main] 340/400 tasks  1297.9s  rows=5384
[main] 350/400 tasks  1396.9s  rows=5524
[main] 360/400 tasks  1724.7s  rows=5668
[main] 370/400 tasks  1830.5s  rows=5802
[main] 380/400 tasks  1851.9s  rows=5964
[main] 390/400 tasks  1986.8s  rows=6100
[main] 400/400 tasks  3638.5s  rows=6136
wrote results\main_p1_sa.csv 6136 rows in 3640.4s
