[p3] 10/500 tasks  1.4s  rows=80
[p3] 20/500 tasks  3.1s  rows=196
[p3] 30/500 tasks  4.9s  rows=312
[p3] 40/500 tasks  7.6s  rows=428
[p3] 50/500 tasks  10.0s  rows=544
[p3] 60/500 tasks  13.0s  rows=660
[p3] 70/500 tasks  16.5s  rows=776
[p3] 80/500 tasks  20.2s  rows=892
[p3] 90/500 tasks  25.4s  rows=1008
[p3] 100/500 tasks  28.6s  rows=1124
[p3] 110/500 tasks  31.2s  rows=1240
[p3] 120/500 tasks  33.3s  rows=1356
[p3] 130/500 tasks  36.4s  rows=1472
[p3] 140/500 tasks  42.0s  rows=1588
TASK FAILED: OSError [Errno 22] Invalid argument: 'C:\\Users\\13985\\Desktop\\x\\results\\plans\\case_025_p3_n3_capls_best.json'
[p3] 150/500 tasks  44.9s  rows=1704
[p3] 160/500 tasks  48.0s  rows=1808
[p3] 170/500 tasks  51.2s  rows=1936
[p3] 180/500 tasks  52.7s  rows=2040
[p3] 190/500 tasks  58.2s  rows=2168
[p3] 200/500 tasks  62.1s  rows=2272
[p3] 210/500 tasks  66.1s  rows=2388
[p3] 220/500 tasks  68.8s  rows=2516
[p3] 230/500 tasks  72.5s  rows=2620
[p3] 240/500 tasks  78.3s  rows=2736
[p3] 250/500 tasks  80.2s  rows=2864
[p3] 260/500 tasks  84.9s  rows=2980
[p3] 270/500 tasks  91.1s  rows=3084
[p3] 280/500 tasks  96.7s  rows=3200
[p3] 290/500 tasks  101.5s  rows=3316
[p3] 300/500 tasks  106.2s  rows=3432
[p3] 310/500 tasks  110.3s  rows=3548
[p3] 320/500 tasks  116.3s  rows=3676
[p3] 330/500 tasks  121.6s  rows=3780
[p3] 340/500 tasks  125.2s  rows=3908
[p3] 350/500 tasks  127.9s  rows=4012
[p3] 360/500 tasks  132.7s  rows=4140
[p3] 370/500 tasks  137.4s  rows=4244
[p3] 380/500 tasks  145.6s  rows=4360
[p3] 390/500 tasks  150.0s  rows=4476
[p3] 400/500 tasks  155.9s  rows=4604
[p3] 410/500 tasks  162.2s  rows=4708
[p3] 420/500 tasks  166.6s  rows=4824
[p3] 430/500 tasks  175.0s  rows=4940
[p3] 440/500 tasks  180.0s  rows=5056
[p3] 450/500 tasks  182.7s  rows=5172
[p3] 460/500 tasks  190.5s  rows=5288
[p3] 470/500 tasks  194.5s  rows=5404
[p3] 480/500 tasks  200.0s  rows=5520
[p3] 490/500 tasks  203.6s  rows=5660
wrote results\p3_compare.csv 5786 rows in 219.0s
