[main] 10/800 tasks  8.0s  rows=220
[main] 20/800 tasks  11.8s  rows=440
[main] 30/800 tasks  35.2s  rows=660
[main] 40/800 tasks  42.7s  rows=880
[main] 50/800 tasks  62.6s  rows=1100
[main] 60/800 tasks  73.8s  rows=1320
[main] 70/800 tasks  84.2s  rows=1540
[main] 80/800 tasks  95.6s  rows=1760
[main] 90/800 tasks  101.2s  rows=1980
[main] 100/800 tasks  110.0s  rows=2200
[main] 110/800 tasks  118.2s  rows=2420
[main] 120/800 tasks  186.2s  rows=2640
[main] 130/800 tasks  205.9s  rows=2860
[main] 140/800 tasks  213.7s  rows=3080
[main] 150/800 tasks  250.2s  rows=3300
[main] 160/800 tasks  274.0s  rows=3520
[main] 170/800 tasks  284.2s  rows=3740
[main] 180/800 tasks  312.7s  rows=3960
[main] 190/800 tasks  352.9s  rows=4180
[main] 200/800 tasks  369.4s  rows=4400
[main] 210/800 tasks  435.4s  rows=4620
[main] 220/800 tasks  448.7s  rows=4840
[main] 230/800 tasks  482.8s  rows=5060
[main] 240/800 tasks  516.3s  rows=5280
[main] 250/800 tasks  529.0s  rows=5500
[main] 260/800 tasks  547.9s  rows=5720
[main] 270/800 tasks  567.6s  rows=5940
[main] 280/800 tasks  580.6s  rows=6160
[main] 290/800 tasks  585.0s  rows=6380
[main] 300/800 tasks  616.8s  rows=6600
[main] 310/800 tasks  635.4s  rows=6820
[main] 320/800 tasks  659.6s  rows=7040
[main] 330/800 tasks  731.6s  rows=7260
[main] 340/800 tasks  752.4s  rows=7480
[main] 350/800 tasks  760.9s  rows=7700
[main] 360/800 tasks  768.0s  rows=7920
[main] 370/800 tasks  783.0s  rows=8140
[main] 380/800 tasks  816.1s  rows=8360
[main] 390/800 tasks  839.2s  rows=8580
[main] 400/800 tasks  849.2s  rows=8800
[main] 410/800 tasks  856.2s  rows=9020
[main] 420/800 tasks  928.4s  rows=9240
[main] 430/800 tasks  965.0s  rows=9460
[main] 440/800 tasks  995.4s  rows=9680
[main] 450/800 tasks  1015.6s  rows=9900
[main] 460/800 tasks  1044.4s  rows=10120
[main] 470/800 tasks  1080.3s  rows=10340
[main] 480/800 tasks  1104.4s  rows=10560
[main] 490/800 tasks  1155.1s  rows=10780
[main] 500/800 tasks  1178.1s  rows=11000
[main] 510/800 tasks  1187.1s  rows=11220
[main] 520/800 tasks  1235.6s  rows=11440
[main] 530/800 tasks  1259.7s  rows=11660
[main] 540/800 tasks  1275.7s  rows=11880
[main] 550/800 tasks  1282.4s  rows=12100
[main] 560/800 tasks  1291.3s  rows=12320
[main] 570/800 tasks  1309.9s  rows=12540
[main] 580/800 tasks  1338.1s  rows=12760
[main] 590/800 tasks  1397.1s  rows=12980
[main] 600/800 tasks  1529.8s  rows=13200
[main] 610/800 tasks  1554.8s  rows=13420
[main] 620/800 tasks  1619.5s  rows=13640
[main] 630/800 tasks  1656.7s  rows=13860
[main] 640/800 tasks  1686.4s  rows=14080
[main] 650/800 tasks  1703.5s  rows=14300
[main] 660/800 tasks  1712.7s  rows=14520
[main] 670/800 tasks  1767.5s  rows=14740
[main] 680/800 tasks  1818.4s  rows=14960
[main] 690/800 tasks  1868.4s  rows=15180
[main] 700/800 tasks  1896.0s  rows=15400
[main] 710/800 tasks  1912.0s  rows=15620
[main] 720/800 tasks  2087.7s  rows=15840
[main] 730/800 tasks  2108.1s  rows=16060
[main] 740/800 tasks  2128.9s  rows=16280
[main] 750/800 tasks  2154.1s  rows=16500
[main] 760/800 tasks  2166.7s  rows=16720
[main] 770/800 tasks  2182.1s  rows=16940
[main] 780/800 tasks  2208.3s  rows=17160
[main] 790/800 tasks  2219.1s  rows=17380
[main] 800/800 tasks  2256.2s  rows=17600
wrote results\main_p23.csv 17600 rows in 2261.9s
