[main] 10/800 tasks  1.2s  rows=150
[main] 20/800 tasks  2.0s  rows=300
[main] 30/800 tasks  7.7s  rows=450
[main] 40/800 tasks  11.3s  rows=600
[main] 50/800 tasks  13.4s  rows=750
[main] 60/800 tasks  15.8s  rows=900
[main] 70/800 tasks  18.5s  rows=1050
[main] 80/800 tasks  19.8s  rows=1200
[main] 90/800 tasks  22.6s  rows=1350
[main] 100/800 tasks  26.1s  rows=1500
[main] 110/800 tasks  29.0s  rows=1650
[main] 120/800 tasks  39.5s  rows=1800
[main] 130/800 tasks  42.5s  rows=1950
[main] 140/800 tasks  44.6s  rows=2100
[main] 150/800 tasks  47.5s  rows=2250
[main] 160/800 tasks  50.0s  rows=2400
[main] 170/800 tasks  51.4s  rows=2550
[main] 180/800 tasks  53.5s  rows=2700
[main] 190/800 tasks  56.5s  rows=2850
[main] 200/800 tasks  59.2s  rows=3000
[main] 210/800 tasks  61.6s  rows=3150
[main] 220/800 tasks  64.0s  rows=3300
[main] 230/800 tasks  70.9s  rows=3450
[main] 240/800 tasks  74.0s  rows=3600
[main] 250/800 tasks  76.0s  rows=3750
[main] 260/800 tasks  78.8s  rows=3900
[main] 270/800 tasks  81.4s  rows=4050
[main] 280/800 tasks  82.7s  rows=4200
[main] 290/800 tasks  83.8s  rows=4350
[main] 300/800 tasks  87.5s  rows=4500
[main] 310/800 tasks  90.7s  rows=4650
[main] 320/800 tasks  96.1s  rows=4800
[main] 330/800 tasks  101.6s  rows=4950
[main] 340/800 tasks  105.6s  rows=5100
[main] 350/800 tasks  107.9s  rows=5250
[main] 360/800 tasks  109.8s  rows=5400
[main] 370/800 tasks  117.2s  rows=5550
[main] 380/800 tasks  122.4s  rows=5700
[main] 390/800 tasks  128.9s  rows=5850
[main] 400/800 tasks  131.3s  rows=6000
[main] 410/800 tasks  135.4s  rows=6150
[main] 420/800 tasks  143.9s  rows=6300
[main] 430/800 tasks  149.1s  rows=6450
[main] 440/800 tasks  157.3s  rows=6600
[main] 450/800 tasks  165.0s  rows=6750
[main] 460/800 tasks  169.2s  rows=6900
[main] 470/800 tasks  173.3s  rows=7050
[main] 480/800 tasks  175.5s  rows=7200
[main] 490/800 tasks  183.7s  rows=7350
[main] 500/800 tasks  187.6s  rows=7500
[main] 510/800 tasks  190.0s  rows=7650
[main] 520/800 tasks  199.7s  rows=7800
[main] 530/800 tasks  205.7s  rows=7950
[main] 540/800 tasks  209.7s  rows=8100
[main] 550/800 tasks  212.2s  rows=8250
[main] 560/800 tasks  215.6s  rows=8400
[main] 570/800 tasks  220.3s  rows=8550
[main] 580/800 tasks  225.4s  rows=8700
[main] 590/800 tasks  236.5s  rows=8850
[main] 600/800 tasks  246.9s  rows=9000
[main] 610/800 tasks  250.0s  rows=9150
[main] 620/800 tasks  253.8s  rows=9300
[main] 630/800 tasks  258.5s  rows=9450
[main] 640/800 tasks  262.0s  rows=9600
[main] 650/800 tasks  266.8s  rows=9750
[main] 660/800 tasks  270.6s  rows=9900
[main] 670/800 tasks  274.6s  rows=10050
[main] 680/800 tasks  287.5s  rows=10200
[main] 690/800 tasks  299.1s  rows=10350
[main] 700/800 tasks  303.1s  rows=10500
[main] 710/800 tasks  307.5s  rows=10650
[main] 720/800 tasks  318.2s  rows=10800
[main] 730/800 tasks  321.5s  rows=10950
[main] 740/800 tasks  323.7s  rows=11100
[main] 750/800 tasks  326.5s  rows=11250
[main] 760/800 tasks  328.5s  rows=11400
[main] 770/800 tasks  331.2s  rows=11550
[main] 780/800 tasks  333.6s  rows=11700
[main] 790/800 tasks  335.4s  rows=11850
[main] 800/800 tasks  339.5s  rows=12000
wrote results\main_p23.csv 12000 rows in 342.5s
