[ablation2] 10/800 tasks  2.0s  rows=130
[ablation2] 20/800 tasks  2.8s  rows=260
[ablation2] 30/800 tasks  13.1s  rows=390
[ablation2] 40/800 tasks  15.8s  rows=520
[ablation2] 50/800 tasks  20.3s  rows=650
[ablation2] 60/800 tasks  34.7s  rows=780
[ablation2] 70/800 tasks  36.5s  rows=910
[ablation2] 80/800 tasks  38.1s  rows=1040
[ablation2] 90/800 tasks  40.4s  rows=1170
[ablation2] 100/800 tasks  44.8s  rows=1300
[ablation2] 110/800 tasks  49.1s  rows=1430
[ablation2] 120/800 tasks  72.2s  rows=1560
[ablation2] 130/800 tasks  81.4s  rows=1690
[ablation2] 140/800 tasks  85.4s  rows=1820
[ablation2] 150/800 tasks  95.4s  rows=1950
[ablation2] 160/800 tasks  105.8s  rows=2080
[ablation2] 170/800 tasks  112.2s  rows=2210
[ablation2] 180/800 tasks  121.0s  rows=2340
[ablation2] 190/800 tasks  155.7s  rows=2470
[ablation2] 200/800 tasks  159.9s  rows=2600
[ablation2] 210/800 tasks  204.9s  rows=2730
[ablation2] 220/800 tasks  209.9s  rows=2860
[ablation2] 230/800 tasks  218.2s  rows=2990
[ablation2] 240/800 tasks  233.3s  rows=3120
[ablation2] 250/800 tasks  239.5s  rows=3250
[ablation2] 260/800 tasks  247.3s  rows=3380
[ablation2] 270/800 tasks  255.1s  rows=3510
[ablation2] 280/800 tasks  258.6s  rows=3640
[ablation2] 290/800 tasks  260.0s  rows=3770
[ablation2] 300/800 tasks  271.1s  rows=3900
[ablation2] 310/800 tasks  278.3s  rows=4030
[ablation2] 320/800 tasks  291.2s  rows=4160
[ablation2] 330/800 tasks  330.3s  rows=4290
[ablation2] 340/800 tasks  341.6s  rows=4420
[ablation2] 350/800 tasks  344.7s  rows=4550
[ablation2] 360/800 tasks  348.2s  rows=4680
[ablation2] 370/800 tasks  354.1s  rows=4810
[ablation2] 380/800 tasks  365.2s  rows=4940
[ablation2] 390/800 tasks  375.6s  rows=5070
[ablation2] 400/800 tasks  379.4s  rows=5200
[ablation2] 410/800 tasks  385.3s  rows=5330
[ablation2] 420/800 tasks  418.9s  rows=5460
[ablation2] 430/800 tasks  425.1s  rows=5590
[ablation2] 440/800 tasks  444.7s  rows=5720
[ablation2] 450/800 tasks  450.9s  rows=5850
[ablation2] 460/800 tasks  463.2s  rows=5980
[ablation2] 470/800 tasks  481.1s  rows=6110
[ablation2] 480/800 tasks  483.6s  rows=6240
[ablation2] 490/800 tasks  502.5s  rows=6370
[ablation2] 500/800 tasks  506.1s  rows=6500
[ablation2] 510/800 tasks  509.0s  rows=6630
[ablation2] 520/800 tasks  529.3s  rows=6760
[ablation2] 530/800 tasks  539.8s  rows=6890
[ablation2] 540/800 tasks  545.8s  rows=7020
[ablation2] 550/800 tasks  548.5s  rows=7150
[ablation2] 560/800 tasks  551.1s  rows=7280
[ablation2] 570/800 tasks  561.3s  rows=7410
[ablation2] 580/800 tasks  572.9s  rows=7540
[ablation2] 590/800 tasks  596.4s  rows=7670
[ablation2] 600/800 tasks  669.5s  rows=7800
[ablation2] 610/800 tasks  676.3s  rows=7930
[ablation2] 620/800 tasks  707.1s  rows=8060
[ablation2] 630/800 tasks  713.7s  rows=8190
[ablation2] 640/800 tasks  719.8s  rows=8320
[ablation2] 650/800 tasks  730.7s  rows=8450
[ablation2] 660/800 tasks  735.2s  rows=8580
[ablation2] 670/800 tasks  749.3s  rows=8710
[ablation2] 680/800 tasks  774.7s  rows=8840
[ablation2] 690/800 tasks  815.4s  rows=8970
[ablation2] 700/800 tasks  827.6s  rows=9100
[ablation2] 710/800 tasks  833.6s  rows=9230
[ablation2] 720/800 tasks  897.2s  rows=9360
[ablation2] 730/800 tasks  921.9s  rows=9490
[ablation2] 740/800 tasks  926.9s  rows=9620
[ablation2] 750/800 tasks  937.0s  rows=9750
[ablation2] 760/800 tasks  946.5s  rows=9880
[ablation2] 770/800 tasks  962.9s  rows=10010
[ablation2] 780/800 tasks  981.2s  rows=10140
[ablation2] 790/800 tasks  986.1s  rows=10270
[ablation2] 800/800 tasks  999.1s  rows=10400
wrote results\ablation2_p23.csv 10400 rows in 1004.5s
