[p3] 10/500 tasks  3.0s  rows=125
[p3] 20/500 tasks  8.4s  rows=313
[p3] 30/500 tasks  16.2s  rows=501
[p3] 40/500 tasks  27.9s  rows=689
[p3] 50/500 tasks  35.3s  rows=877
[p3] 60/500 tasks  46.6s  rows=1065
[p3] 70/500 tasks  56.2s  rows=1253
[p3] 80/500 tasks  69.6s  rows=1441
[p3] 90/500 tasks  91.9s  rows=1629
[p3] 100/500 tasks  100.1s  rows=1817
[p3] 110/500 tasks  109.6s  rows=2005
[p3] 120/500 tasks  118.0s  rows=2193
[p3] 130/500 tasks  129.5s  rows=2381
[p3] 140/500 tasks  185.4s  rows=2569
[p3] 150/500 tasks  198.7s  rows=2757
[p3] 160/500 tasks  211.2s  rows=2945
[p3] 170/500 tasks  221.7s  rows=3133
[p3] 180/500 tasks  228.2s  rows=3321
[p3] 190/500 tasks  243.6s  rows=3509
[p3] 200/500 tasks  260.8s  rows=3697
[p3] 210/500 tasks  269.7s  rows=3885
[p3] 220/500 tasks  276.8s  rows=4073
[p3] 230/500 tasks  303.1s  rows=4261
[p3] 240/500 tasks  323.8s  rows=4449
[p3] 250/500 tasks  329.9s  rows=4637
[p3] 260/500 tasks  339.8s  rows=4825
[p3] 270/500 tasks  354.3s  rows=5013
[p3] 280/500 tasks  392.7s  rows=5201
[p3] 290/500 tasks  417.1s  rows=5389
[p3] 300/500 tasks  433.8s  rows=5577
[p3] 310/500 tasks  444.9s  rows=5765
[p3] 320/500 tasks  458.2s  rows=5953
[p3] 330/500 tasks  483.3s  rows=6141
[p3] 340/500 tasks  492.0s  rows=6329
[p3] 350/500 tasks  500.6s  rows=6517
[p3] 360/500 tasks  516.3s  rows=6705
[p3] 370/500 tasks  537.2s  rows=6893
[p3] 380/500 tasks  560.8s  rows=7081
[p3] 390/500 tasks  584.1s  rows=7269
[p3] 400/500 tasks  613.8s  rows=7457
[p3] 410/500 tasks  646.4s  rows=7645
[p3] 420/500 tasks  666.7s  rows=7833
[p3] 430/500 tasks  700.5s  rows=8021
[p3] 440/500 tasks  714.0s  rows=8209
[p3] 450/500 tasks  730.9s  rows=8397
[p3] 460/500 tasks  762.3s  rows=8585
[p3] 470/500 tasks  782.2s  rows=8773
[p3] 480/500 tasks  800.8s  rows=8961
[p3] 490/500 tasks  821.7s  rows=9170
[p3] 500/500 tasks  895.8s  rows=9400
wrote results\p3_compare.csv 9400 rows in 897.9s
