case,baseline_makespan,baseline_added,makespan_n1,added_n1,speedup_n1,makespan_n2,added_n2,speedup_n2,makespan_n3,added_n3,speedup_n3,makespan_n4,added_n4,speedup_n4,makespan_n5,added_n5,speedup_n5
case_001,233110,0,233110,0,1.0,116868,1152,1.9946,78545,2304,2.9679,58984,3456,3.9521,47502,4608,4.9074
case_002,261945,0,261945,0,1.0,121768,90624,2.1512,82329,138240,3.1817,65392,181248,4.0058,54581,207360,4.7992
case_003,602212,0,602212,0,1.0,285420,1550994,2.1099,252886,2358296,2.3814,182260,3927966,3.3041,182260,3927966,3.3041
case_004,392357,0,392357,0,1.0,195960,1382400,2.0022,130725,221184,3.0014,100126,331776,3.9186,83319,442368,4.7091
case_005,95618,0,95618,0,1.0,52975,477222,1.805,38285,801420,2.4975,38285,801420,2.4975,36630,837720,2.6104
case_006,82837,16400,82837,16400,1.0,40056,501324,2.068,27488,618368,3.0136,25390,493156,3.2626,22940,336400,3.611
case_007,1012562,0,1012562,0,1.0,507494,27648,1.9952,338094,55296,2.9949,254398,82944,3.9802,203834,110592,4.9676
case_008,487605,0,487605,0,1.0,155082,0,3.1442,110895,0,4.397,88500,0,5.5097,71833,0,6.788
case_009,153261,0,153261,0,1.0,91267,299150,1.6793,66004,574108,2.322,63921,747930,2.3977,49750,929592,3.0806
case_010,86969,0,86969,0,1.0,41582,496332,2.0915,27958,548196,3.1107,25971,635524,3.3487,23284,471140,3.7351
case_011,184697,0,184697,0,1.0,92646,180224,1.9936,65543,1200128,2.818,46880,540672,3.9398,40551,1650688,4.5547
case_012,59088,0,59088,0,1.0,21950,0,2.6919,18325,163322,3.2244,15493,74960,3.8139,13832,0,4.2718
case_013,263949,0,263949,0,1.0,132198,8192,1.9966,88351,16384,2.9875,66982,24576,3.9406,54363,32768,4.8553
case_014,17698626,71010720,17698626,71010720,1.0,8904271,76033440,1.9877,5933771,80019536,2.9827,4511152,87805200,3.9233,3643563,60562848,4.8575
case_015,177362,180256,177362,180256,1.0,83564,240928,2.1225,58469,1464888,3.0334,43898,832948,4.0403,42014,317952,4.2215
case_016,7715523,0,7715523,0,1.0,7715523,0,1.0,7715523,0,1.0,6104382,35524768,1.2639,6104382,35524768,1.2639
case_017,162810,22528,162810,22528,1.0,71293,81792,2.2837,44420,163584,3.6652,35734,240768,4.5562,29386,327168,5.5404
case_018,1004367,1970176,1004367,1970176,1.0,503406,3347456,1.9951,338456,3903872,2.9675,254778,5118976,3.9421,204554,3661824,4.91
case_019,81144,0,81144,0,1.0,34656,510500,2.3414,27380,685380,2.9636,21169,582148,3.8332,17971,503844,4.5153
case_020,532746,0,532746,0,1.0,266580,0,1.9984,177950,0,2.9938,133704,0,3.9845,107574,0,4.9524
case_021,6567937,4501504,6567937,4501504,1.0,3194570,3174400,2.056,2104376,7186432,3.1211,1550324,4608000,4.2365,1250168,11431936,5.2536
case_022,56780,0,56780,0,1.0,27481,0,2.0662,19193,112516,2.9584,14940,0,3.8005,12461,157360,4.5566
case_023,122614,0,122614,0,1.0,41726,73728,2.9386,28284,147456,4.3351,28284,147456,4.3351,21898,544408,5.5993
case_024,2555343,0,2555343,0,1.0,2555343,0,1.0,2159403,22415452,1.1834,2006540,29037088,1.2735,1579198,30282428,1.6181
case_025,4863026,0,4863026,0,1.0,2431840,27648,1.9997,1622164,55296,2.9979,1217444,82944,3.9945,975282,110592,4.9863
