case,baseline_makespan,baseline_added,makespan_n1,added_n1,speedup_n1,makespan_n2,added_n2,speedup_n2,makespan_n3,added_n3,speedup_n3,makespan_n4,added_n4,speedup_n4,makespan_n5,added_n5,speedup_n5
case_026,99203,0,99203,0,1.0,48612,218548,2.0407,38424,923392,2.5818,38424,923392,2.5818,38424,923392,2.5818
case_027,2363952,1400832,2363952,1400832,1.0,1115722,1105920,2.1188,764163,6107136,3.0935,559196,2211840,4.2274,487450,12023808,4.8496
case_028,43836040,277412256,43836040,277412256,1.0,20028806,20677824,2.1886,13289382,11546880,3.2986,10099681,11508096,4.3403,8055128,12550656,5.442
case_029,37555,0,37555,0,1.0,19737,16400,1.9028,12743,0,2.9471,11028,0,3.4054,9164,67656,4.0981
case_030,2808034,5519360,2808034,5519360,1.0,1399993,7834624,2.0057,931329,9363456,3.0151,699599,8380416,4.0138,561417,11588608,5.0017
case_031,1414369,3491328,1414369,3491328,1.0,711625,4581888,1.9875,478206,4969984,2.9577,360302,5298688,3.9255,293958,4816896,4.8115
case_032,41443,0,41443,0,1.0,21098,168116,1.9643,12670,205008,3.271,11276,0,3.6753,10350,0,4.0042
case_033,1774196,4592640,1774196,4592640,1.0,893844,4953600,1.9849,589568,7086144,3.0093,446802,7344224,3.9709,357201,8111232,4.9669
case_034,842996,1079832,842996,1079832,1.0,412272,1238528,2.0448,272649,2328576,3.0919,209623,3019264,4.0215,165143,3508224,5.1046
case_035,169571,0,169571,0,1.0,95406,0,1.7774,78824,765572,2.1513,78073,1128234,2.172,64436,1160968,2.6316
case_036,931510,0,931510,0,1.0,466068,1152,1.9987,311345,2304,2.9919,233584,3456,3.9879,187182,4608,4.9765
case_037,210001,0,210001,0,1.0,105374,204800,1.9929,72874,1003520,2.8817,53320,614400,3.9385,43013,1310720,4.8823
case_038,1364555,5627904,1364555,5627904,1.0,679097,5607936,2.0094,458108,7012352,2.9787,339997,7758336,4.0134,275584,9409536,4.9515
case_039,1435262,7929856,1435262,7929856,1.0,708561,11067392,2.0256,482923,10113024,2.972,374421,10510336,3.8333,311816,11489280,4.6029
case_040,253454,0,253454,0,1.0,128421,0,1.9736,110105,0,2.3019,102570,1931186,2.471,102570,1931186,2.471
case_041,6003957,30898176,6003957,30898176,1.0,2986534,33595392,2.0103,1994174,35017728,3.0107,1496957,38879232,4.0108,1193573,40452096,5.0302
case_042,1686740,6629376,1686740,6629376,1.0,842623,7265568,2.0018,571713,7746560,2.9503,434592,8503584,3.8812,343502,9689088,4.9104
case_043,677656,49160,677656,49160,1.0,327858,1884268,2.0669,230016,3085000,2.9461,205499,4132756,3.2976,180949,5217408,3.745
case_044,154407,4438112,154407,4438112,1.0,43959,930400,3.5125,43959,930400,3.5125,43959,930400,3.5125,43959,930400,3.5125
case_045,125614,0,125614,0,1.0,63059,0,1.992,42601,0,2.9486,31878,0,3.9405,26088,0,4.815
case_046,276455,3176288,276455,3176288,1.0,105718,930400,2.615,105663,2064576,2.6164,92005,2213920,3.0048,92005,2213920,3.0048
case_047,326508,0,326508,0,1.0,156922,794950,2.0807,122587,1239692,2.6635,113671,1947090,2.8724,102458,2584600,3.1867
case_048,222220,0,222220,0,1.0,159142,233030,1.3964,149061,576140,1.4908,143466,1756370,1.5489,143466,1756370,1.5489
case_049,196276,0,196276,0,1.0,100467,319282,1.9536,81125,497688,2.4194,61217,751934,3.2062,59412,872740,3.3036
case_050,149690,0,149690,0,1.0,80347,272582,1.863,55518,481660,2.6962,43625,571290,3.4313,43625,571290,3.4313
case_051,607628,0,607628,0,1.0,607628,0,1.0,484407,10748968,1.2544,345402,2228604,1.7592,345402,2228604,1.7592
case_052,180301,0,180301,0,1.0,71775,73728,2.512,48446,147456,3.7217,37183,221184,4.849,30397,294912,5.9315
case_053,1472686,5405536,1472686,5405536,1.0,703950,2184118,2.092,553159,2848940,2.6623,448335,12542018,3.2848,392998,14846008,3.7473
case_054,815051,0,815051,0,1.0,411504,933062,1.9807,342634,1613448,2.3788,245854,2545234,3.3152,245854,2545234,3.3152
case_055,118835,69632,118835,69632,1.0,48250,98816,2.4629,33559,99328,3.5411,30663,677058,3.8755,26653,427118,4.4586
case_056,277285,0,277285,0,1.0,130574,496950,2.1236,90771,767084,3.0548,88923,1107930,3.1183,76464,1454488,3.6263
case_057,59726,94216,59726,94216,1.0,30053,269820,1.9874,21820,397250,2.7372,17875,382150,3.3413,15599,250392,3.8288
case_058,4539717,28696576,4539717,28696576,1.0,2263428,33492992,2.0057,1510985,31211520,3.0045,1153590,31985664,3.9353,948106,31719424,4.7882
case_059,829473,1691648,829473,1691648,1.0,369318,360448,2.246,255358,2162688,3.2483,185216,1081344,4.4784,150736,4325376,5.5028
case_060,888789,2068520,888789,2068520,1.0,452002,2724108,1.9663,298981,3164416,2.9727,229829,3510784,3.8672,179018,4039168,4.9648
case_061,77191,0,77191,0,1.0,38873,25344,1.9857,29597,179618,2.6081,22111,50688,3.4911,19552,328440,3.948
case_062,2854809,0,2854809,0,1.0,1429017,53760,1.9977,954231,72192,2.9917,716795,89088,3.9827,574337,86016,4.9706
case_063,1070397,0,1070397,0,1.0,534284,9019392,2.0034,346909,4116480,3.0855,270124,64512,3.9626,213041,367104,5.0244
case_064,19116,0,19116,0,1.0,13698,61542,1.3955,11449,99404,1.6697,11254,122098,1.6986,11254,122098,1.6986
case_065,53068,0,53068,0,1.0,21905,13824,2.4226,14937,27648,3.5528,11760,41472,4.5126,10622,55296,4.996
case_066,359070,0,359070,0,1.0,197561,952044,1.8175,142974,1398840,2.5114,132815,2060756,2.7035,109925,2476400,3.2665
case_067,63834834,264449408,63834834,264449408,1.0,30338059,8325504,2.1041,20153440,10769152,3.1674,15143945,14048384,4.2152,12531847,17327616,5.0938
case_068,362095,0,362095,0,1.0,197044,1553566,1.8376,147939,2085676,2.4476,124804,3208234,2.9013,124172,3538800,2.9161
case_069,25144,0,25144,0,1.0,13266,371046,1.8954,12194,335116,2.062,11407,432114,2.2043,11323,351476,2.2206
case_070,117300,0,117300,0,1.0,47580,88064,2.4653,40551,176128,2.8927,29097,264192,4.0313,26399,690024,4.4434
case_071,18919,0,18919,0,1.0,11459,326886,1.651,10712,229324,1.7662,9045,267856,2.0917,9045,267856,2.0917
case_072,23897828,108613680,23897828,108613680,1.0,11846123,113201200,2.0174,8000696,119709046,2.987,5941844,125858856,4.022,4804197,130011184,4.9744
case_073,10081626,141570432,10081626,141570432,1.0,4236675,3721600,2.3796,2831560,7443200,3.5604,2208323,11164800,4.5653,1816764,14886400,5.5492
case_074,1682239,6070280,1682239,6070280,1.0,826937,6590472,2.0343,544838,7585792,3.0876,408750,7819264,4.1156,336523,8302592,4.9989
case_075,1441809,0,1441809,0,1.0,670177,2310790,2.1514,572934,3422476,2.5165,383971,5734290,3.755,365235,6600472,3.9476
case_076,6185113,28280832,6185113,28280832,1.0,3067902,31201280,2.0161,2054012,34470912,3.0112,1533331,32051200,4.0338,1235977,34179072,5.0042
case_077,495320,0,495320,0,1.0,250735,57344,1.9755,176359,932152,2.8086,131477,147094,3.7674,118802,1592816,4.1693
case_078,2296143,12644568,2296143,12644568,1.0,1022234,2148480,2.2462,917340,6471168,2.503,523604,8694144,4.3853,486337,11371008,4.7213
case_079,31052251,32448512,31052251,32448512,1.0,15159240,32612352,2.0484,10072944,32722944,3.0827,7635624,30445568,4.0668,6075976,47677440,5.1107
case_080,292138,548864,292138,548864,1.0,145926,2191360,2.002,100165,3932160,2.9166,81859,2543616,3.5688,76491,2031616,3.8192
case_081,151795,0,151795,0,1.0,76860,0,1.975,51943,0,2.9223,39588,0,3.8344,30943,0,4.9056
case_082,721041,0,721041,0,1.0,331837,832902,2.1729,227528,1428236,3.169,215554,2106514,3.3451,198621,2932248,3.6302
case_083,1057993,13934688,1057993,13934688,1.0,419453,930400,2.5223,288815,1860800,3.6632,210763,2791200,5.0198,184990,3721600,5.7192
case_084,2507412,0,2507412,0,1.0,1255052,0,1.9979,836220,0,2.9985,629028,0,3.9862,503472,0,4.9802
case_085,3187899,0,3187899,0,1.0,1503897,3911858,2.1198,1272448,5532684,2.5053,816364,8300178,3.905,816364,8300178,3.905
case_086,118403,0,118403,0,1.0,63004,518694,1.8793,47791,919116,2.4775,40468,1363698,2.9258,40468,1363698,2.9258
case_087,3974071,7902720,3974071,7902720,1.0,1993185,8248320,1.9938,1459150,6727680,2.7236,1140911,21730796,3.4832,894365,6981120,4.4435
case_088,243623,0,243623,0,1.0,130634,1049798,1.8649,99762,1449996,2.442,89270,2268882,2.7291,84089,2451224,2.8972
case_089,693092,0,693092,0,1.0,295144,238720,2.3483,206778,477440,3.3519,148144,716160,4.6785,119458,954880,5.802
case_090,1178363,21233592,1178363,21233592,1.0,430364,2917248,2.7381,326383,4296960,3.6104,278236,7285632,4.2351,278236,7285632,4.2351
case_091,9186769,53947008,9186769,53947008,1.0,4571759,57904096,2.0095,3074692,60897408,2.9879,2321866,69020832,3.9566,1898042,73166848,4.8401
case_092,4815554,66000096,4815554,66000096,1.0,1926278,5437728,2.4999,1275324,3859648,3.7759,966196,3905312,4.984,780940,3950976,6.1664
case_093,74205,0,74205,0,1.0,37827,8192,1.9617,25103,16384,2.956,19779,24576,3.7517,15876,32768,4.674
case_094,94892,0,94892,0,1.0,43154,114464,2.1989,26395,212544,3.5951,20034,318528,4.7365,18550,425088,5.1155
case_095,2084853,0,2084853,0,1.0,1042890,0,1.9991,673706,16330752,3.0946,524422,0,3.9755,420852,0,4.9539
case_096,84194,0,84194,0,1.0,40994,124748,2.0538,33260,125704,2.5314,26984,0,3.1201,25104,597692,3.3538
case_097,11491509,10584064,11491509,10584064,1.0,5478142,14655488,2.0977,3568148,18454528,3.2206,2626908,14221312,4.3745,2102348,21311488,5.466
case_098,177430,0,177430,0,1.0,87157,960674,2.0358,64508,1341690,2.7505,64508,1341690,2.7505,60773,1254586,2.9196
case_099,1622999,5484544,1622999,5484544,1.0,810196,7315456,2.0032,541232,6590464,2.9987,405864,9782400,3.9989,336006,7528448,4.8303
case_100,151223,0,151223,0,1.0,85674,306188,1.7651,57948,0,2.6096,49328,1560842,3.0657,49328,1560842,3.0657
