case,num_cores,makespan_noL2,makespan_L2,added_noL2,added_L2,cache_hit_rate,cache_speedup
case_076,1,6185113,6183098,28280832,28280832,0.1336,1.0003
case_076,2,3072558,3070431,28930048,28930048,0.2431,1.0007
case_076,3,2054573,2053054,30402560,30402560,0.3046,1.0007
case_076,4,1533331,1529902,32051200,32051200,0.3454,1.0022
case_076,5,1235977,1230166,34179072,34179072,0.3875,1.0047
case_077,1,495320,495320,0,0,0.0,1.0
case_077,2,250735,250735,57344,57344,0.0261,1.0
case_077,3,176359,175206,932152,932152,0.1784,1.0066
case_077,4,131477,131477,147094,147094,0.0001,1.0
case_077,5,118802,114398,1592816,1592816,0.2117,1.0385
case_078,1,2296143,2296143,12644568,12644568,0.0,1.0
case_078,2,1022234,1022234,2148480,2148480,0.0,1.0
case_078,3,917340,900985,6471168,6471168,0.5177,1.0182
case_078,4,523604,523593,8694144,8694144,0.0923,1.0
case_078,5,486337,457569,11371008,11371008,0.3571,1.0629
case_079,1,31052251,31052251,32448512,32448512,0.0,1.0
case_079,2,15159240,15159240,32612352,32612352,0.0,1.0
case_079,3,10072944,10072944,32722944,32722944,0.0,1.0
case_079,4,7635624,7635624,30445568,30445568,0.0,1.0
case_079,5,6075976,6075472,47677440,47677440,0.2442,1.0001
case_080,1,292138,291826,548864,548864,0.1686,1.0011
case_080,2,145926,145674,2191360,2191360,0.436,1.0017
case_080,3,100579,99832,3932160,3932160,0.5543,1.0075
case_080,4,82300,79590,2789376,2789376,0.3468,1.034
case_080,5,112206,72434,4571136,4571136,0.5085,1.5491
case_081,1,151795,151795,0,0,0.0,1.0
case_081,2,76860,76860,0,0,0.0,1.0
case_081,3,51943,51943,0,0,0.0,1.0
case_081,4,39588,39588,0,0,0.0,1.0
case_081,5,30943,30943,0,0,0.0,1.0
case_082,1,721041,721041,0,0,0.0,1.0
case_082,2,331837,331832,832902,832902,0.2024,1.0
case_082,3,227528,227521,1428236,1428236,0.2837,1.0
case_082,4,215554,215536,2106514,2106514,0.5076,1.0001
case_082,5,198621,197346,2932248,2932248,0.5189,1.0065
case_083,1,1057993,946145,13934688,13934688,0.7959,1.1182
case_083,2,419453,419453,930400,930400,0.4398,1.0
case_083,3,288815,288815,1860800,1860800,0.3054,1.0
case_083,4,210763,210763,2791200,2791200,0.7019,1.0
case_083,5,184990,184990,3721600,3721600,0.1896,1.0
case_084,1,2507412,2507412,0,0,0.0,1.0
case_084,2,1255052,1255052,0,0,0.0,1.0
case_084,3,836220,836220,0,0,0.0,1.0
case_084,4,629028,629028,0,0,0.0,1.0
case_084,5,503472,503472,0,0,0.0,1.0
case_085,1,3187899,3187899,0,0,0.0,1.0
case_085,2,1503897,1503897,3911858,3911858,0.1587,1.0
case_085,3,1272448,1272443,5532684,5532684,0.3023,1.0
case_085,4,816364,816273,8300178,8300178,0.5001,1.0001
case_085,5,845707,844668,9673624,9673624,0.5539,1.0012
case_086,1,118403,118403,0,0,0.0,1.0
case_086,2,63004,62938,518694,518694,0.1947,1.001
case_086,3,47791,47288,919116,919116,0.2189,1.0106
case_086,4,40468,38643,1363698,1363698,0.3823,1.0472
case_086,5,46257,44416,1227672,1227672,0.444,1.0414
case_087,1,3974071,3969779,7902720,7902720,0.1834,1.0011
case_087,2,1993185,1991129,8248320,8248320,0.19,1.001
case_087,3,1459150,1456602,6727680,6727680,0.2332,1.0017
case_087,4,1165299,1158171,21489164,21489164,0.4788,1.0062
case_087,5,955722,932498,24751754,24751754,0.4942,1.0249
case_088,1,243623,243623,0,0,0.0,1.0
case_088,2,130634,130606,1049798,1049798,0.2475,1.0002
case_088,3,99762,98649,1449996,1449996,0.1465,1.0113
case_088,4,89270,88285,2268882,2268882,0.2035,1.0112
case_088,5,115814,109160,2446040,2446040,0.3114,1.061
case_089,1,693092,693092,0,0,0.0,1.0
case_089,2,295144,295144,238720,238720,0.0,1.0
case_089,3,206778,206778,477440,477440,0.2712,1.0
case_089,4,148144,148144,716160,716160,0.0,1.0
case_089,5,119458,119458,954880,954880,0.0,1.0
case_090,1,1178363,1178363,21233592,21233592,0.0,1.0
case_090,2,430364,430364,2917248,2917248,0.1826,1.0
case_090,3,326383,324313,4296960,4296960,0.2998,1.0064
case_090,4,282064,259720,6445440,6445440,0.2108,1.086
case_090,5,279327,274915,9422592,9422592,0.0829,1.016
case_091,1,9186769,9168820,53947008,53947008,0.1054,1.002
case_091,2,4573412,4563996,52114560,52114560,0.3386,1.0021
case_091,3,3074692,3069257,60897408,60897408,0.4353,1.0018
case_091,4,2321866,2317037,69020832,69020832,0.2879,1.0021
case_091,5,1898042,1884651,73166848,73166848,0.3128,1.0071
