case,num_cores,makespan_noL2,makespan_L2,added_noL2,added_L2,cache_hit_rate,cache_speedup
case_054,1,815051,815051,0,0,0.0,1.0
case_054,2,411504,411477,933062,933062,0.0741,1.0001
case_054,3,342634,342219,1613448,1613448,0.1835,1.0012
case_054,4,245854,243498,2545234,2545234,0.2786,1.0097
case_054,5,253291,250059,3113240,3113240,0.3572,1.0129
case_055,1,118835,118835,69632,69632,0.1001,1.0
case_055,2,48250,48250,98816,98816,0.0822,1.0
case_055,3,33559,33559,99328,99328,0.137,1.0
case_055,4,30663,29142,677058,677058,0.4652,1.0522
case_055,5,28166,25947,873214,873214,0.5376,1.0855
case_056,1,277285,277285,0,0,0.0,1.0
case_056,2,130574,130574,496950,496950,0.1786,1.0
case_056,3,90771,90592,767084,767084,0.3524,1.002
case_056,4,88923,88843,1107930,1107930,0.4075,1.0009
