eval_problem,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path,proxy_fallback,case,problem,num_cores,mono_fix
3,capls,s10,10,0.234,0.295,True,65392,181248,181248.0,0.0,1405440.0,0.0276816608996539,36864.0,1798,261945,,4.005765231220945,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_002_p3_n4_capls_best.json,False,case_002,3,4,False
3,capls,s6,6,0.25,0.295,True,54581,207360,207360.0,0.0,1431552.0,0.0171037628278221,23040.0,1798,261945,,4.799197522947546,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_002_p3_n5_capls_best.json,False,case_002,3,5,False
1,capls,sa3,0,6.055,6.041,True,561059,916640,916640.0,0.0,2200904.0,,,8,602212,,1.0733487921947602,"{""anneal"": true}",True,results\plans\case_003_p1_n2_capls_best.json,False,case_003,1,2,False
1,capls,sa2,0,5.341,5.325,True,286936,4449660,4449660.0,0.0,5733924.0,,,184,602212,,2.098767669445451,"{""anneal"": true}",True,results\plans\case_003_p1_n3_capls_best.json,False,case_003,1,3,False
1,capls,c2,0,1.506,4.184,True,225768,3757030,3757030.0,0.0,5041294.0,,,76,602212,,2.6673930760780977,"{""block_cap"": 0.35, ""init"": ""rr""}",True,results\plans\case_003_p1_n4_capls_best.json,False,case_003,1,4,False
1,capls,mono_embed_n4,0,1.726,5.452,True,225768,3757030,3757030.0,0.0,5041294.0,,,76,602212,,2.6673930760780977,"{""block_cap"": 0.35}",True,results/final_plans_mono/p1/n5/case_003_multicore_res.json,False,case_003,1,5,True
2,capls,c17,0,2.066,3.691,True,285420,1550994,1550994.0,0.0,2835258.0,,,13455,602212,,2.109915212669049,"{""alpha"": 0.8, ""block_cap"": 0.15, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_003_p2_n2_capls_best.json,False,case_003,2,2,False
2,capls,c14,0,2.314,3.266,True,252886,2358296,2358296.0,0.0,3642560.0,,,13455,602212,,2.381357607775836,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_003_p2_n3_capls_best.json,False,case_003,2,3,False
2,capls,c14,0,2.944,2.995,True,182260,3927966,3927966.0,0.0,5212230.0,,,13455,602212,,3.3041369472182596,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_003_p2_n4_capls_best.json,False,case_003,2,4,False
2,capls,mono_embed_n4,0,2.824,3.272,True,182260,3927966,3927966.0,0.0,5212230.0,,,13455,602212,,3.3041369472182596,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results/final_plans_mono/p2/n5/case_003_multicore_res.json,False,case_003,2,5,True
3,capls,c17,0,2.212,3.899,True,285418,1550994,1550994.0,0.0,2835258.0,0.1609158192027327,374790.0,13455,602212,,2.1099299974073116,"{""alpha"": 0.8, ""block_cap"": 0.15, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_003_p3_n2_capls_best.json,False,case_003,3,2,False
3,capls,c14,0,2.182,3.293,True,251261,2358296,2358296.0,0.0,3642560.0,0.2427908593323933,687372.0,13455,602212,,2.3967587488706963,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_003_p3_n3_capls_best.json,False,case_003,3,3,False
3,capls,c14,0,2.959,3.26,True,179646,3927966,3927966.0,0.0,5212230.0,0.4041731407126148,1632018.0,13455,602212,,3.352214911548267,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_003_p3_n4_capls_best.json,False,case_003,3,4,False
3,capls,mono_embed_n4,9,2.426,4.08,True,179646,3927966,3927966.0,0.0,5212230.0,0.4041731407126148,1632018.0,13455,602212,,3.352214911548267,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results/final_plans_mono/p3/n5/case_003_multicore_res.json,False,case_003,3,5,True
1,capls,c0,0,0.011,0.192,True,199074,110592,110592.0,0.0,903168.0,,,2,392357,,1.9709103147573264,"{""block_cap"": 0.35}",True,results\plans\case_004_p1_n2_capls_best.json,False,case_004,1,2,False
1,capls,c0,0,0.028,0.115,True,134043,221184,221184.0,0.0,1013760.0,,,3,392357,,2.927098020784375,"{""block_cap"": 0.35}",True,results\plans\case_004_p1_n3_capls_best.json,False,case_004,1,3,False
1,capls,c0,0,0.038,0.148,True,104188,331776,331776.0,0.0,1124352.0,,,4,392357,,3.765855952700887,"{""block_cap"": 0.35}",True,results\plans\case_004_p1_n4_capls_best.json,False,case_004,1,4,False
1,capls,c0,0,0.035,0.116,True,88341,442368,442368.0,0.0,1234944.0,,,5,392357,,4.441391879195391,"{""block_cap"": 0.35}",True,results\plans\case_004_p1_n5_capls_best.json,False,case_004,1,5,False
2,capls,s2,2,0.093,0.15,True,195960,1382400,110592.0,1271808.0,2174976.0,,,777,392357,,2.0022300469483567,"{""alpha"": 1.0, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""noise"": 0.05, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_004_p2_n2_capls_best.json,False,case_004,2,2,False
2,capls,c14,0,0.095,0.118,True,130725,221184,221184.0,0.0,1013760.0,,,777,392357,,3.001392235609103,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_004_p2_n3_capls_best.json,False,case_004,2,3,False
2,capls,c14,0,0.103,0.112,True,100126,331776,331776.0,0.0,1124352.0,,,777,392357,,3.9186325230209937,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_004_p2_n4_capls_best.json,False,case_004,2,4,False
