case,problem,num_cores,makespan,speedup,added_copy_bytes,cache_hit_rate,n_subgraphs,plan
case_006,2,2,40056,2.068,501324,,6,results\final_plans\p2\n2\case_006_multicore_res.json
case_006,2,3,31153,2.659,0,,3,results\final_plans\p2\n3\case_006_multicore_res.json
case_006,2,4,28831,2.8732,470922,,17,results\final_plans\p2\n4\case_006_multicore_res.json
case_006,2,5,24473,3.3848,328006,,13,results\final_plans\p2\n5\case_006_multicore_res.json
case_006,3,2,39976,2.0722,501324,0.35050985215534075,6,results\final_plans\p3\n2\case_006_multicore_res.json
case_006,3,3,31153,2.659,0,0.0,3,results\final_plans\p3\n3\case_006_multicore_res.json
case_006,3,4,28056,2.9526,707624,0.44549437823543137,18,results\final_plans\p3\n4\case_006_multicore_res.json
case_006,3,5,24403,3.3945,868170,0.42849214420294995,24,results\final_plans\p3\n5\case_006_multicore_res.json
case_007,1,2,507494,1.9952,27648,,2,results\final_plans\p1\n2\case_007_multicore_res.json
case_007,1,3,338094,2.9949,55296,,3,results\final_plans\p1\n3\case_007_multicore_res.json
case_007,1,4,254398,3.9802,82944,,4,results\final_plans\p1\n4\case_007_multicore_res.json
case_007,1,5,203834,4.9676,110592,,5,results\final_plans\p1\n5\case_007_multicore_res.json
case_007,2,2,507494,1.9952,27648,,2,results\final_plans\p2\n2\case_007_multicore_res.json
case_007,2,3,338094,2.9949,55296,,3,results\final_plans\p2\n3\case_007_multicore_res.json
case_007,2,4,254398,3.9802,82944,,4,results\final_plans\p2\n4\case_007_multicore_res.json
case_007,2,5,203834,4.9676,110592,,5,results\final_plans\p2\n5\case_007_multicore_res.json
case_007,3,2,507494,1.9952,27648,0.0,2,results\final_plans\p3\n2\case_007_multicore_res.json
case_007,3,3,338094,2.9949,55296,0.0,3,results\final_plans\p3\n3\case_007_multicore_res.json
case_007,3,4,254398,3.9802,82944,0.0,4,results\final_plans\p3\n4\case_007_multicore_res.json
case_007,3,5,203834,4.9676,110592,0.0,5,results\final_plans\p3\n5\case_007_multicore_res.json
case_008,1,2,244266,1.9962,0,,2,results\final_plans\p1\n2\case_008_multicore_res.json
case_008,1,3,163359,2.9849,0,,3,results\final_plans\p1\n3\case_008_multicore_res.json
case_008,1,4,123060,3.9623,0,,4,results\final_plans\p1\n4\case_008_multicore_res.json
case_008,1,5,100603,4.8468,0,,5,results\final_plans\p1\n5\case_008_multicore_res.json
case_008,2,2,182275,2.6751,5345280,,6,results\final_plans\p2\n2\case_008_multicore_res.json
case_008,2,3,163359,2.9849,0,,3,results\final_plans\p2\n3\case_008_multicore_res.json
case_008,2,4,123060,3.9623,0,,4,results\final_plans\p2\n4\case_008_multicore_res.json
case_008,2,5,100603,4.8468,0,,5,results\final_plans\p2\n5\case_008_multicore_res.json
case_008,3,2,182275,2.6751,5345280,0.0,6,results\final_plans\p3\n2\case_008_multicore_res.json
case_008,3,3,163359,2.9849,0,0.0,3,results\final_plans\p3\n3\case_008_multicore_res.json
case_008,3,4,123060,3.9623,0,0.0,4,results\final_plans\p3\n4\case_008_multicore_res.json
case_008,3,5,100603,4.8468,0,0.0,5,results\final_plans\p3\n5\case_008_multicore_res.json
case_009,1,2,131904,1.1619,192646,,6,results\final_plans\p1\n2\case_009_multicore_res.json
case_009,1,3,90469,1.6941,668908,,54,results\final_plans\p1\n3\case_009_multicore_res.json
case_009,1,4,89196,1.7182,778468,,98,results\final_plans\p1\n4\case_009_multicore_res.json
case_009,1,5,68245,2.2457,825050,,125,results\final_plans\p1\n5\case_009_multicore_res.json
case_009,2,2,92198,1.6623,0,,2,results\final_plans\p2\n2\case_009_multicore_res.json
case_009,2,3,69806,2.1955,574108,,54,results\final_plans\p2\n3\case_009_multicore_res.json
case_009,2,4,63921,2.3977,747930,,100,results\final_plans\p2\n4\case_009_multicore_res.json
case_009,2,5,50839,3.0146,929592,,125,results\final_plans\p2\n5\case_009_multicore_res.json
case_009,3,2,92198,1.6623,0,0.0,2,results\final_plans\p3\n2\case_009_multicore_res.json
case_009,3,3,69745,2.1974,574108,0.33115106955665624,54,results\final_plans\p3\n3\case_009_multicore_res.json
case_009,3,4,63026,2.4317,747930,0.4230412300265803,100,results\final_plans\p3\n4\case_009_multicore_res.json
case_009,3,5,49212,3.1143,929592,0.369551379337259,125,results\final_plans\p3\n5\case_009_multicore_res.json
case_010,1,2,44202,1.9675,27648,,2,results\final_plans\p1\n2\case_010_multicore_res.json
case_010,1,3,38265,2.2728,441632,,6,results\final_plans\p1\n3\case_010_multicore_res.json
case_010,1,4,35660,2.4388,676806,,17,results\final_plans\p1\n4\case_010_multicore_res.json
case_010,1,5,27970,3.1094,455990,,12,results\final_plans\p1\n5\case_010_multicore_res.json
case_010,2,2,44202,1.9675,27648,,2,results\final_plans\p2\n2\case_010_multicore_res.json
case_010,2,3,30440,2.8571,27648,,3,results\final_plans\p2\n3\case_010_multicore_res.json
case_010,2,4,28750,3.025,616280,,20,results\final_plans\p2\n4\case_010_multicore_res.json
case_010,2,5,24202,3.5935,415588,,20,results\final_plans\p2\n5\case_010_multicore_res.json
case_010,3,2,44202,1.9675,27648,0.06715145509392169,2,results\final_plans\p3\n2\case_010_multicore_res.json
case_010,3,3,30440,2.8571,27648,0.02238381836464056,3,results\final_plans\p3\n3\case_010_multicore_res.json
case_010,3,4,28432,3.0588,616280,0.2919288330254795,20,results\final_plans\p3\n4\case_010_multicore_res.json
case_010,3,5,24202,3.5935,415588,0.171380913620443,20,results\final_plans\p3\n5\case_010_multicore_res.json
case_011,1,2,92646,1.9936,180224,,2,results\final_plans\p1\n2\case_011_multicore_res.json
case_011,1,3,68437,2.6988,1241088,,6,results\final_plans\p1\n3\case_011_multicore_res.json
case_011,1,4,46880,3.9398,540672,,4,results\final_plans\p1\n4\case_011_multicore_res.json
case_011,1,5,46777,3.9485,1216512,,5,results\final_plans\p1\n5\case_011_multicore_res.json
case_011,2,2,92646,1.9936,180224,,2,results\final_plans\p2\n2\case_011_multicore_res.json
