case,problem,num_cores,match,cli_makespan,expected_makespan,cli_added_copy_bytes,expected_added_copy_bytes,cli_hit_rate,expected_hit_rate,cli_seconds,error
case_094,1,1,True,94892,94892,0,0,,,0.3,
case_095,1,1,True,2084853,2084853,0,0,,,7.4,
case_096,1,1,True,84194,84194,0,0,,,0.5,
case_097,1,1,True,11491509,11491509,10584064,10584064,,,23.0,
case_098,1,1,True,177430,177430,0,0,,,0.5,
case_099,1,1,True,1622999,1622999,5484544,5484544,,,13.8,
case_100,1,1,True,151223,151223,0,0,,,0.6,
case_001,1,2,True,116868,116868,1152,1152,,,0.3,
case_002,1,2,True,132841,132841,1575936,1575936,,,0.9,
case_003,1,2,True,548523,548523,1659238,1659238,,,4.2,
case_004,1,2,True,199074,199074,110592,110592,,,0.3,
case_005,1,2,True,65153,65153,929524,929524,,,1.2,
case_006,1,2,True,44485,44485,686320,686320,,,0.3,
case_007,1,2,True,507494,507494,27648,27648,,,2.6,
case_008,1,2,True,244163,244163,1990656,1990656,,,0.4,
case_009,1,2,True,111035,111035,2289206,2289206,,,1.5,
case_010,1,2,True,44202,44202,27648,27648,,,0.3,
case_011,1,2,True,92646,92646,180224,180224,,,0.3,
case_012,1,2,True,29841,29841,0,0,,,0.4,
case_013,1,2,True,132198,132198,8192,8192,,,1.2,
case_014,1,2,True,8838781,8838781,86154144,86154144,,,43.4,
case_015,1,2,True,88439,88439,216336,216336,,,0.5,
case_016,1,2,True,7715523,7715523,0,0,,,128.8,
case_017,1,2,True,80139,80139,251908,251908,,,0.6,
case_018,1,2,True,503406,503406,3347456,3347456,,,2.1,
case_019,1,2,True,41518,41518,0,0,,,0.3,
case_020,1,2,True,266580,266580,0,0,,,4.3,
case_021,1,2,True,3102580,3102580,6656000,6656000,,,1.4,
case_022,1,2,True,28674,28674,0,0,,,0.5,
case_023,1,2,True,60389,60389,301576,301576,,,0.4,
case_024,1,2,True,2555343,2555343,0,0,,,6.6,
case_025,1,2,True,2431840,2431840,27648,27648,,,179.9,
case_026,1,2,True,57246,57246,453364,453364,,,0.3,
case_027,1,2,True,1119508,1119508,3317760,3317760,,,0.5,
case_028,1,2,True,20808437,20808437,326568960,326568960,,,4.6,
case_029,1,2,True,19740,19740,0,0,,,0.3,
case_030,1,2,True,1396147,1396147,7126016,7126016,,,9.5,
case_031,1,2,True,706617,706617,4402838,4402838,,,5.4,
case_032,1,2,True,21082,21082,260264,260264,,,0.3,
case_033,1,2,True,893844,893844,4953600,4953600,,,4.1,
case_034,1,2,True,418733,418733,1864192,1864192,,,4.7,
case_035,1,2,True,115014,115014,153406,153406,,,1.4,
case_036,1,2,True,466068,466068,1152,1152,,,1.6,
case_037,1,2,True,105374,105374,204800,204800,,,0.3,
case_038,1,2,True,679097,679097,5607936,5607936,,,15.8,
case_039,1,2,True,692660,692660,9805824,9805824,,,1.6,
case_040,1,2,True,185290,185290,2193632,2193632,,,0.7,
case_041,1,2,True,2986534,2986534,33595392,33595392,,,365.8,
case_042,1,2,True,842623,842623,7265568,7265568,,,9.5,
case_043,1,2,True,395771,395771,5579966,5579966,,,2.1,
case_044,1,2,True,96401,96401,1283040,1283040,,,0.4,
case_045,1,2,True,63059,63059,0,0,,,0.5,
case_046,1,2,True,151992,151992,1819232,1819232,,,0.3,
case_047,1,2,True,297834,297834,3389130,3389130,,,3.0,
case_048,1,2,True,212543,212543,615242,615242,,,0.5,
case_049,1,2,True,171171,171171,391226,391226,,,1.5,
