case,problem,num_cores,label,feasible,makespan,added_copy_bytes,speedup,cached,is_champion,error
case_001,1,5,c5,True,88140,229248,2.6448,True,False,
case_001,1,5,c6,True,47502,4608,4.9074,True,False,
case_001,1,5,c7,True,47502,4608,4.9074,True,False,
case_001,1,5,c8,True,90085,1847808,2.5877,True,False,
case_001,1,5,c9,True,47502,4608,4.9074,True,False,
case_001,1,5,embed_n4,True,58984,3456,3.9521,True,False,
case_001,1,5,g_0.03,True,47502,4608,4.9074,True,False,
case_001,1,5,g_0.06,True,47502,4608,4.9074,True,False,
case_001,1,5,g_0.12,True,47502,4608,4.9074,True,False,
case_001,1,5,g_0.25,True,47502,4608,4.9074,True,False,
case_001,1,5,g_0.5,True,47502,4608,4.9074,True,False,
case_001,1,5,g_1.0,True,47502,4608,4.9074,True,False,
case_001,1,5,g_2.0,True,47502,4608,4.9074,True,False,
case_001,2,2,a_full,True,116868,1152,1.9946,True,True,
case_001,2,2,a_no_balance,True,116868,1152,1.9946,True,False,
case_001,2,2,a_no_cache_aware,True,116868,1152,1.9946,True,False,
case_001,2,2,a_no_comm,True,119765,38016,1.9464,True,False,
case_001,2,2,a_no_level,True,116868,1152,1.9946,True,False,
case_001,2,2,a_no_localsearch,True,116868,1152,1.9946,True,False,
case_001,2,2,a_no_sync,True,116868,1152,1.9946,True,False,
case_001,2,2,b_balance,True,116868,1152,1.9946,True,False,
case_001,2,2,b_comm,True,116868,1152,1.9946,True,False,
case_001,2,2,b_random,True,200469,1733760,1.1628,True,False,
case_001,2,2,b_topo,True,116868,1152,1.9946,True,False,
case_001,2,2,c0,True,116868,1152,1.9946,True,False,
case_001,2,2,c1,True,116868,1152,1.9946,True,False,
case_001,2,2,c10,True,233110,0,1.0,True,False,
case_001,2,2,c11,True,116868,1152,1.9946,True,False,
case_001,2,2,c12,True,116868,1152,1.9946,True,False,
case_001,2,2,c13,True,116868,1152,1.9946,True,False,
case_001,2,2,c14,True,120180,99456,1.9397,True,False,
case_001,2,2,c15,True,121284,132224,1.922,True,False,
case_001,2,2,c16,True,120180,99456,1.9397,True,False,
case_001,2,2,c17,True,120180,99456,1.9397,True,False,
case_001,2,2,c2,True,116868,1152,1.9946,True,False,
case_001,2,2,c3,True,116868,1152,1.9946,True,False,
case_001,2,2,c4,True,116868,1152,1.9946,True,False,
case_001,2,2,c5,True,116868,1152,1.9946,True,False,
case_001,2,2,c6,True,116868,1152,1.9946,True,False,
case_001,2,2,c7,True,116868,1152,1.9946,True,False,
case_001,2,2,c8,True,131999,1229952,1.766,True,False,
case_001,2,2,c9,True,116868,1152,1.9946,True,False,
case_001,2,2,cross_from_p3,True,116868,1152,1.9946,True,False,
case_001,2,2,g_0.03,True,116868,1152,1.9946,True,False,
case_001,2,2,g_0.06,True,116868,1152,1.9946,True,False,
case_001,2,2,g_0.12,True,116868,1152,1.9946,True,False,
case_001,2,2,g_0.25,True,116868,1152,1.9946,True,False,
case_001,2,2,g_0.5,True,116868,1152,1.9946,True,False,
case_001,2,2,g_1.0,True,116868,1152,1.9946,True,False,
case_001,2,2,g_2.0,True,233110,0,1.0,True,False,
case_001,2,2,x3_c0,True,116868,1152,1.9946,True,False,
case_001,2,2,x3_c1,True,116868,1152,1.9946,True,False,
case_001,2,2,x3_c10,True,233110,0,1.0,True,False,
case_001,2,2,x3_c11,True,116868,1152,1.9946,True,False,
case_001,2,2,x3_c12,True,116868,1152,1.9946,True,False,
case_001,2,2,x3_c13,True,116868,1152,1.9946,True,False,
case_001,2,2,x3_c14,True,120180,99456,1.9397,True,False,
case_001,2,2,x3_c15,True,121284,132224,1.922,True,False,
case_001,2,2,x3_c16,True,120180,99456,1.9397,True,False,
case_001,2,2,x3_c17,True,120180,99456,1.9397,True,False,
case_001,2,2,x3_c2,True,116868,1152,1.9946,True,False,
case_001,2,2,x3_c3,True,116868,1152,1.9946,True,False,
case_001,2,2,x3_c4,True,116868,1152,1.9946,True,False,
case_001,2,2,x3_c5,True,116868,1152,1.9946,True,False,
case_001,2,2,x3_c6,True,116868,1152,1.9946,True,False,
case_001,2,2,x3_c7,True,116868,1152,1.9946,True,False,
case_001,2,2,x3_c8,True,131999,1229952,1.766,True,False,
case_001,2,2,x3_c9,True,116868,1152,1.9946,True,False,
case_001,2,3,a_full,True,78545,2304,2.9679,True,True,
case_001,2,3,a_no_balance,True,78545,2304,2.9679,True,False,
case_001,2,3,a_no_cache_aware,True,78545,2304,2.9679,True,False,
case_001,2,3,a_no_comm,True,81697,100608,2.8533,True,False,
case_001,2,3,a_no_level,True,78545,2304,2.9679,True,False,
case_001,2,3,a_no_localsearch,True,78545,2304,2.9679,True,False,
case_001,2,3,a_no_sync,True,78545,2304,2.9679,True,False,
case_001,2,3,b_balance,True,96933,137472,2.4049,True,False,
case_001,2,3,b_comm,True,78545,2304,2.9679,True,False,
case_001,2,3,b_random,True,192433,2312448,1.2114,True,False,
case_001,2,3,b_topo,True,82287,137472,2.8329,True,False,
case_001,2,3,c0,True,78545,2304,2.9679,True,False,
case_001,2,3,c1,True,78545,2304,2.9679,True,False,
case_001,2,3,c10,True,116868,1152,1.9946,True,False,
case_001,2,3,c11,True,78545,2304,2.9679,True,False,
case_001,2,3,c12,True,78545,2304,2.9679,True,False,
case_001,2,3,c13,True,78545,2304,2.9679,True,False,
case_001,2,3,c14,True,82556,2304,2.8237,True,False,
case_001,2,3,c15,True,84296,51456,2.7654,True,False,
case_001,2,3,c16,True,82556,2304,2.8237,True,False,
case_001,2,3,c17,True,82556,2304,2.8237,True,False,
case_001,2,3,c2,True,78545,2304,2.9679,True,False,
case_001,2,3,c3,True,78545,2304,2.9679,True,False,
case_001,2,3,c4,True,78545,2304,2.9679,True,False,
case_001,2,3,c5,True,78545,2304,2.9679,True,False,
case_001,2,3,c6,True,78545,2304,2.9679,True,False,
case_001,2,3,c7,True,78545,2304,2.9679,True,False,
case_001,2,3,c8,True,97680,1648896,2.3865,True,False,
case_001,2,3,c9,True,78545,2304,2.9679,True,False,
case_001,2,3,cross_from_p3,True,78545,2304,2.9679,True,False,
case_001,2,3,embed_n2,True,116868,1152,1.9946,True,False,
case_001,2,3,g_0.03,True,78545,2304,2.9679,True,False,
case_001,2,3,g_0.06,True,78545,2304,2.9679,True,False,
case_001,2,3,g_0.12,True,78545,2304,2.9679,True,False,
case_001,2,3,g_0.25,True,78545,2304,2.9679,True,False,
case_001,2,3,g_0.5,True,78545,2304,2.9679,True,False,
case_001,2,3,g_1.0,True,78545,2304,2.9679,True,False,
case_001,2,3,g_2.0,True,78545,2304,2.9679,True,False,
case_001,2,3,x3_c0,True,78545,2304,2.9679,True,False,
case_001,2,3,x3_c1,True,78545,2304,2.9679,True,False,
case_001,2,3,x3_c10,True,116868,1152,1.9946,True,False,
case_001,2,3,x3_c11,True,78545,2304,2.9679,True,False,
case_001,2,3,x3_c12,True,78545,2304,2.9679,True,False,
case_001,2,3,x3_c13,True,78545,2304,2.9679,True,False,
