case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup
case_087,3,3,5,comm,,0,0.437,9.859,True,1034110,24989240,19961912,5027328,30908338,0.43612011255621236,11940236,1060,3974071,,3.8429867228824786
case_089,1,1,2,random,,0,0.064,1.123,True,698185,3021032,3021032,0,3587432,,,10,693092,,0.9927053717854151
case_089,1,1,2,topo,,0,0.015,0.818,True,348428,1671040,1671040,0,2237440,,,8,693092,,1.989197194255341
case_089,1,1,2,balance,,0,0.015,0.818,True,348428,1671040,1671040,0,2237440,,,8,693092,,1.989197194255341
case_089,1,1,2,comm,,0,0.035,1.181,True,356940,9310080,9310080,0,9876480,,,40,693092,,1.941760519975346
case_088,3,3,4,random,,0,0.058,1.913,True,243340,2245948,2245948,0,4075746,0.12178842754287596,380156,22,243623,,1.001162981836114
case_088,3,3,4,topo,,0,0.013,0.532,True,186274,1675478,1675478,0,3505276,0.3199863432764885,989712,16,243623,,1.3078744215510485
case_088,3,3,4,balance,,0,0.021,0.522,True,212591,1254934,1254934,0,3084732,0.26636628054078054,747468,16,243623,,1.1459704314858108
case_088,3,3,4,comm,,0,0.034,0.615,True,110218,2275410,2275410,0,4105208,0.2019080316339297,741714,218,243623,,2.210373986100274
case_087,3,3,3,random,,0,1.675,12.779,True,4062701,36557138,23608976,12948162,42476236,0.036717233149101865,1010156,15,3974071,,0.9781844639809821
case_087,3,3,3,topo,,0,0.169,7.997,True,2760642,13081404,5457916,7623488,19000502,0.25170579350693906,4614550,12,3974071,,1.4395459461965732
case_087,3,3,3,balance,,0,0.567,7.748,True,2753454,13440630,5434678,8005952,19359728,0.2562362456998419,4789654,12,3974071,,1.4433039375271932
case_087,3,3,3,comm,,0,0.311,8.869,True,1538579,17650752,9780288,7870464,23569850,0.36516254027983674,7884388,1060,3974071,,2.58294894184829
case_088,3,3,5,random,,0,0.047,0.945,True,234124,2305364,2305364,0,4135162,0.135931839628865,432714,26,243623,,1.0405725171276758
case_088,3,3,5,topo,,0,0.021,0.928,True,204607,1891866,1891866,0,3721664,0.33891166450621907,1099666,20,243623,,1.1906875131349368
case_088,3,3,5,balance,,0,0.013,0.57,True,217596,1525020,1525020,0,3354818,0.2821672094960151,833426,20,243623,,1.1196115737421644
case_088,3,3,5,comm,,0,0.05,0.669,True,96150,2451224,2451224,0,4281022,0.1795418353701818,675352,218,243623,,2.533780551222049
case_089,2,2,2,random,,0,0.05,1.175,True,656281,1476608,1476608,0,2043008,,,10,693092,,1.0560903027818875
case_089,2,2,2,topo,,0,0.015,0.796,True,346832,238720,238720,0,805120,,,8,693092,,1.998350786547954
case_089,2,2,2,balance,,0,0.019,0.796,True,346832,238720,238720,0,805120,,,8,693092,,1.998350786547954
case_089,2,2,2,comm,,0,0.039,2.147,True,346832,238720,238720,0,805120,,,40,693092,,1.998350786547954
case_089,1,1,5,random,,0,0.049,1.304,True,703731,6358224,6358224,0,6924624,,,25,693092,,0.9848820074716049
case_089,1,1,5,topo,,0,0.017,0.764,True,174348,4535680,4535680,0,5102080,,,20,693092,,3.9753366829559273
case_089,1,1,5,balance,,0,0.028,0.764,True,174348,4535680,4535680,0,5102080,,,20,693092,,3.9753366829559273
