case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup
case_073,1,1,4,capls,2.0,0,0.185,3.405,True,3903787,140222208,11164800,129057408,144263296,,,4,10081626,,2.5825246100773427
case_073,2,2,4,capls,0.03,0,0.337,1.768,True,3817036,115612288,13346944,102265344,119653376,,,77,10081626,,2.641218474229743
case_073,2,2,4,capls,0.06,0,0.291,1.768,True,3817036,115612288,13346944,102265344,119653376,,,77,10081626,,2.641218474229743
case_073,2,2,4,capls,0.12,0,0.176,0.994,True,3903787,140222208,11164800,129057408,144263296,,,4,10081626,,2.5825246100773427
case_073,2,2,4,capls,0.25,0,0.182,0.994,True,3903787,140222208,11164800,129057408,144263296,,,4,10081626,,2.5825246100773427
case_073,2,2,4,capls,0.5,0,0.174,0.994,True,3903787,140222208,11164800,129057408,144263296,,,4,10081626,,2.5825246100773427
case_073,2,2,4,capls,1.0,0,0.181,0.994,True,3903787,140222208,11164800,129057408,144263296,,,4,10081626,,2.5825246100773427
case_073,2,2,4,capls,2.0,0,0.175,0.994,True,3903787,140222208,11164800,129057408,144263296,,,4,10081626,,2.5825246100773427
case_043,3,3,4,capls,0.03,0,1.986,4.368,True,322789,9253112,9226228,26884,10684234,0.37770747480087363,2652138,154,677656,,2.099377612000409
case_043,3,3,4,capls,0.06,0,0.949,4.458,True,300681,9024124,8952150,71974,10455246,0.4344360539558198,3058422,170,677656,,2.253737349549855
case_043,3,3,4,capls,0.12,0,0.539,3.451,True,246249,3888126,3825012,63114,5319248,0.48395276807186954,2063442,49,677656,,2.751913713355181
case_043,3,3,4,capls,0.25,0,0.511,3.451,True,246249,3888126,3825012,63114,5319248,0.48395276807186954,2063442,49,677656,,2.751913713355181
case_043,3,3,4,capls,0.5,0,0.523,3.451,True,246249,3888126,3825012,63114,5319248,0.48395276807186954,2063442,49,677656,,2.751913713355181
case_043,3,3,4,capls,1.0,0,0.506,3.451,True,246249,3888126,3825012,63114,5319248,0.48395276807186954,2063442,49,677656,,2.751913713355181
case_043,3,3,4,capls,2.0,0,0.348,3.101,True,309933,616624,600240,16384,2047746,0.27812983013555154,569344,5,677656,,2.1864596541833237
case_043,2,2,4,capls,0.03,0,1.896,4.279,True,348035,7025048,7002002,23046,8456170,,,147,677656,,1.9470915281509045
case_043,2,2,4,capls,0.06,0,2.0,4.169,True,369302,6995674,6954930,40744,8426796,,,151,677656,,1.8349643381297691
case_043,2,2,4,capls,0.12,0,0.495,3.408,True,248309,3888126,3825012,63114,5319248,,,49,677656,,2.7290835209356086
case_043,2,2,4,capls,0.25,0,0.505,3.408,True,248309,3888126,3825012,63114,5319248,,,49,677656,,2.7290835209356086
case_043,2,2,4,capls,0.5,0,0.504,3.408,True,248309,3888126,3825012,63114,5319248,,,49,677656,,2.7290835209356086
case_043,2,2,4,capls,1.0,0,0.497,3.408,True,248309,3888126,3825012,63114,5319248,,,49,677656,,2.7290835209356086
case_043,2,2,4,capls,2.0,0,0.366,2.814,True,310158,616624,600240,16384,2047746,,,5,677656,,2.184873516078902
