case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path
case_017,2,2,5,capls,c5,0,0.129,0.344,True,40936,327168,327168,0,971030,,,54,162810,,3.9771838968145397,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_017,2,2,5,capls,c6,0,0.079,0.204,True,36065,322560,322560,0,966422,,,5,162810,,4.514349091917372,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_017,2,2,5,capls,c7,0,0.252,0.308,True,52318,731562,731562,0,1375424,,,14,162810,,3.111930884208112,"{""block_cap"": 0.08}",False,
case_017,2,2,5,capls,c8,0,0.339,0.317,True,66633,1309850,1309850,0,1953712,,,29,162810,,2.4433839088739813,"{""block_cap"": 0.005}",False,
case_017,2,2,5,capls,c9,0,0.125,0.204,True,36065,322560,322560,0,966422,,,5,162810,,4.514349091917372,"{""block_cap"": 0.35, ""max_ops"": 500}",False,
case_017,2,2,5,capls,c10,0,0.119,0.392,True,46304,245376,245376,0,889238,,,4,162810,,3.5161109191430544,"{""block_cap"": 0.35, ""cores_used"": 4}",False,
case_017,2,2,5,capls,c11,0,0.08,0.204,True,36065,322560,322560,0,966422,,,5,162810,,4.514349091917372,"{""block_cap"": 0.35, ""sync_weight"": 0.0}",False,
case_017,2,2,5,capls,c12,0,0.113,0.287,True,39459,327168,327168,0,971030,,,5,162810,,4.1260548924199805,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_fill""}",False,
case_017,2,2,5,capls,c13,0,0.12,0.287,True,39459,327168,327168,0,971030,,,5,162810,,4.1260548924199805,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_compress""}",False,
case_017,2,2,5,capls,c14,0,0.218,0.214,True,29386,327168,327168,0,971030,,,1373,162810,,5.540393384604914,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,
case_017,2,2,5,capls,c15,0,0.224,0.214,True,29386,327168,327168,0,971030,,,1373,162810,,5.540393384604914,"{""alpha"": 1.0, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_017,2,2,5,capls,c16,0,0.225,0.204,True,35833,327168,327168,0,971030,,,1373,162810,,4.54357714955488,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 0.0, ""nu"": 0.0, ""subgraph_mode"": ""op""}",False,
case_017,2,2,5,capls,c17,0,0.324,0.275,True,31299,711892,711892,0,1355754,,,1373,162810,,5.201763634620915,"{""alpha"": 0.8, ""block_cap"": 0.15, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_017,2,2,5,capls,_best,0,0.19,0.214,True,29386,327168,327168,0,971030,,,1373,162810,,5.540393384604914,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",True,results\plans\case_017_p2_n5_capls_best.json
case_014,2,2,3,capls,c0,0,0.89,12.88,True,6001237,83601312,15548928,68052384,93534052,,,3,17698626,,2.9491629808987714,"{""block_cap"": 0.35}",False,
case_014,2,2,3,capls,c1,0,0.983,12.88,True,6001237,83601312,15548928,68052384,93534052,,,3,17698626,,2.9491629808987714,"{""block_cap"": 0.15}",False,
case_014,2,2,3,capls,c2,0,1.243,13.373,True,5983408,83403168,15599616,67803552,93335908,,,3,17698626,,2.957950719723609,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
case_014,2,2,3,capls,c3,0,1.034,12.715,True,5997925,69715872,6311424,63404448,79648612,,,3,17698626,,2.9507914820542105,"{""block_cap"": 0.35, ""init"": ""contig""}",False,
case_014,2,2,3,capls,c4,0,0.752,18.305,True,5984916,81283488,15548928,65734560,91216228,,,1335,17698626,,2.957205414411831,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
case_014,2,2,3,capls,c5,0,0.965,16.814,True,6010452,80870304,15599616,65270688,90803044,,,1335,17698626,,2.9446414346208902,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_014,2,2,3,capls,c6,0,1.031,11.983,True,6014868,63679392,4193280,59486112,73612132,,,3,17698626,,2.9424795357105094,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_014,2,2,3,capls,c7,0,0.756,12.88,True,6001237,83601312,15548928,68052384,93534052,,,3,17698626,,2.9491629808987714,"{""block_cap"": 0.08}",False,
case_014,2,2,3,capls,c8,0,1.026,12.686,True,5933771,80019536,18050360,61969176,89952276,,,46,17698626,,2.9826944787724368,"{""block_cap"": 0.005}",True,
case_014,2,2,3,capls,c9,0,0.795,18.819,True,6012186,82704288,15548928,67155360,92637028,,,73,17698626,,2.9437921581268442,"{""block_cap"": 0.35, ""max_ops"": 500}",False,
case_014,2,2,3,capls,c10,0,0.691,13.293,True,8976065,66345888,2096640,64249248,76278628,,,2,17698626,,1.9717577802745412,"{""block_cap"": 0.35, ""cores_used"": 2}",False,
case_014,2,2,3,capls,c11,0,0.721,12.88,True,6001237,83601312,15548928,68052384,93534052,,,3,17698626,,2.9491629808987714,"{""block_cap"": 0.35, ""sync_weight"": 0.0}",False,
case_014,2,2,3,capls,c12,0,1.294,13.373,True,5983408,83403168,15599616,67803552,93335908,,,3,17698626,,2.957950719723609,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_fill""}",False,
case_014,2,2,3,capls,c13,0,1.124,13.373,True,5983408,83403168,15599616,67803552,93335908,,,3,17698626,,2.957950719723609,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_compress""}",False,
case_014,2,2,3,capls,c14,0,4.672,22.84,True,9609037,356797440,15599616,341197824,366730180,,,35705,17698626,,1.8418730201580034,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_014,2,2,3,capls,c15,0,4.449,21.48,True,9621928,356797440,15599616,341197824,366730180,,,35705,17698626,,1.8394053665751813,"{""alpha"": 1.0, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_014,2,2,3,capls,c16,0,4.741,21.992,True,9564959,356797440,15599616,341197824,366730180,,,35705,17698626,,1.8503608849760882,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 0.0, ""nu"": 0.0, ""subgraph_mode"": ""op""}",False,
case_014,2,2,3,capls,c17,0,5.951,22.84,True,9609037,356797440,15599616,341197824,366730180,,,35705,17698626,,1.8418730201580034,"{""alpha"": 0.8, ""block_cap"": 0.15, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
case_014,2,2,3,capls,_best,0,1.047,12.686,True,5933771,80019536,18050360,61969176,89952276,,,46,17698626,,2.9826944787724368,"{""block_cap"": 0.005}",True,results\plans\case_014_p2_n3_capls_best.json
case_014,3,3,3,capls,c0,0,0.937,13.376,True,5987235,83601312,15548928,68052384,93534052,0.21938709633532555,20511744,3,17698626,,2.9560600176876304,"{""block_cap"": 0.35}",False,
case_014,3,3,3,capls,c1,0,0.883,13.376,True,5987235,83601312,15548928,68052384,93534052,0.21938709633532555,20511744,3,17698626,,2.9560600176876304,"{""block_cap"": 0.15}",False,
case_014,3,3,3,capls,c2,0,1.109,13.308,True,5978620,83403168,15599616,67803552,93335908,0.2016115153661949,18809856,3,17698626,,2.960319605527697,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
case_014,3,3,3,capls,c3,0,1.126,13.198,True,5994544,69715872,6311424,63404448,79648612,0.07192804060663961,5726208,3,17698626,,2.9524557664436193,"{""block_cap"": 0.35, ""init"": ""contig""}",False,
case_014,3,3,3,capls,c4,0,0.684,18.669,True,5973620,81283488,15548928,65734560,91216228,0.2866380439248796,26135040,1335,17698626,,2.9627974327124926,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
case_014,3,3,3,capls,c5,0,1.002,18.05,True,5993617,80870304,15599616,65270688,90803044,0.26959848603637204,24470016,1335,17698626,,2.9529124066486063,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_014,3,3,3,capls,c6,0,1.01,11.739,True,6007121,63679392,4193280,59486112,73612132,0.15672371853483835,11530752,3,17698626,,2.946274263494942,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_014,3,3,3,capls,c7,0,0.628,13.376,True,5987235,83601312,15548928,68052384,93534052,0.21938709633532555,20511744,3,17698626,,2.9560600176876304,"{""block_cap"": 0.08}",False,
case_014,3,3,3,capls,c8,0,0.893,12.63,True,5881266,80019536,18050360,61969176,89952276,0.3385154295855885,30369840,46,17698626,,3.0093224826083365,"{""block_cap"": 0.005}",True,
case_014,3,3,3,capls,c9,0,0.772,19.805,True,6001529,82704288,15548928,67155360,92637028,0.2568084229422797,23731200,73,17698626,,2.9490194915329075,"{""block_cap"": 0.35, ""max_ops"": 500}",False,
case_014,3,3,3,capls,c10,0,0.875,14.193,True,8966909,66345888,2096640,64249248,76278628,0.1273078754937943,9705984,2,17698626,,1.973771117784289,"{""block_cap"": 0.35, ""cores_used"": 2}",False,
case_014,3,3,3,capls,c11,0,0.81,13.376,True,5987235,83601312,15548928,68052384,93534052,0.21938709633532555,20511744,3,17698626,,2.9560600176876304,"{""block_cap"": 0.35, ""sync_weight"": 0.0}",False,
case_014,3,3,3,capls,c12,0,0.986,13.308,True,5978620,83403168,15599616,67803552,93335908,0.2016115153661949,18809856,3,17698626,,2.960319605527697,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_fill""}",False,
case_014,3,3,3,capls,c13,0,1.193,13.308,True,5978620,83403168,15599616,67803552,93335908,0.2016115153661949,18809856,3,17698626,,2.960319605527697,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_compress""}",False,
case_014,3,3,3,capls,c14,0,4.578,22.672,True,9593875,356797440,15599616,341197824,366730180,0.1159722336127581,24605184,35705,17698626,,1.8447838855519798,"{""alpha"": 0.8, ""block_cap"": 0.35, ""init"": ""rr"", ""mu"": 1.0, ""nu"": 0.5, ""subgraph_mode"": ""op""}",False,
