case,num_cores,makespan,official_hit_bytes,official_miss_bytes,hit_rate,hit_input_reuse,hit_spill_reload,hit_cross_core_mid,miss_first_miss,miss_oversize,miss_concurrent_first_read,miss_fifo_evicted
case_057,4,17645,559012,372980,0.5998034317891141,558932,0,80,351988,0,20992,0
case_058,4,1142629,13246464,35999744,0.2689844464775846,13246464,0,0,6623232,0,811008,28565504
case_059,4,185216,0,2162688,0.0,0,0,0,1081344,0,1081344,0
case_060,4,229535,2648448,2961064,0.4721351875172029,2648448,0,0,2098728,0,98304,764032
case_061,4,22111,50688,544036,0.08522945097221568,50688,0,0,544036,0,0,0
case_062,4,716754,9216,13440000,0.0006852444038373687,9216,0,0,13440000,0,0,0
case_063,4,270081,9216,5047296,0.0018226002430133657,9216,0,0,5047296,0,0,0
case_064,4,11227,32466,77446,0.29538175995341726,13106,0,19360,60486,0,16960,0
case_065,4,11760,32256,308936,0.09453914511477408,32256,0,0,299720,0,9216,0
case_066,4,131603,832322,1614350,0.3401853619937613,520498,0,311824,1331980,0,282370,0
case_067,4,15040197,11157888,6333568,0.6379050434680795,11157888,0,0,6326656,0,6912,0
case_068,4,120739,1123484,4146736,0.21317592054980627,773600,0,349884,3038894,0,1104768,3074
case_069,4,10301,166576,231752,0.4181880259484646,132304,0,34272,220518,0,11234,0
case_070,4,29097,65536,618514,0.09580586214458008,65536,0,0,419858,0,198656,0
case_071,4,8702,96016,190566,0.3350384881116051,68560,0,27456,175974,0,14592,0
case_072,4,5928167,25010176,111608054,0.18306616913423635,25010176,0,0,11426638,0,0,100181416
case_073,4,2123315,11161344,3884800,0.7418076020008847,11161344,0,0,3881344,0,3456,0
case_074,4,405309,3444736,8151064,0.29706755894375547,3444736,0,0,3776536,0,262144,4112384
case_075,4,383543,2694928,2983944,0.47455339722395573,1819920,0,875008,2667398,0,316546,0
case_076,4,1529902,12544000,23776256,0.3453720149990132,12544000,0,0,4269056,0,91136,19416064
case_077,4,131477,150,2272076,6.60145601713914e-05,150,0,0,2157388,0,57344,57344
case_078,4,523593,905616,8910960,0.09225375528086371,758160,0,147456,3192960,0,5718000,0
case_079,4,7635624,0,36257792,0.0,0,0,0,5812224,0,10948608,19496960
case_080,4,79590,1474560,2777088,0.3468208092485549,1474560,0,0,2347008,0,61440,368640
case_081,4,39588,0,1044820,0.0,0,0,0,1044820,0,0,0
case_082,4,215536,969106,940038,0.5076128359097062,578962,0,390144,884486,0,55552,0
case_083,4,210763,2790336,1185216,0.7018738529894717,2790336,0,0,1184352,0,864,0
case_084,4,629028,0,9927786,0.0,0,0,0,9927786,0,0,0
case_085,4,816273,3351568,3350152,0.5001056445211081,1709328,0,1642240,3127814,0,222338,0
case_086,4,38643,450160,727304,0.3823131747552367,238192,0,211968,535110,0,192194,0
case_087,4,1135476,11801564,13265544,0.4707987854043634,10451660,0,1349904,7025808,0,773446,5466290
case_088,4,88285,746962,2923298,0.20351746197817047,551826,0,195136,2030178,0,893120,0
case_089,4,148144,0,1118720,0.0,0,0,0,402560,0,716160,0
case_090,4,259720,1819944,6813912,0.21079156288916562,1819944,0,0,2188416,0,4625496,0
case_091,4,2317037,21751072,53805440,0.2878781910948986,21751072,0,0,6535680,0,2680544,44589216
case_092,4,957454,1712192,3860800,0.30723029927191714,1712192,0,0,2781792,0,1079008,0
case_093,4,19779,0,598016,0.0,0,0,0,573440,0,24576,0
case_094,4,19544,246336,543520,0.3118745695417899,246336,0,0,471328,0,72192,0
case_095,4,524422,0,8516508,0.0,0,0,0,8516508,0,0,0
case_096,4,26984,0,210260,0.0,0,0,0,210260,0,0,0
case_097,4,2626908,770048,17711104,0.041666666666666664,770048,0,0,4259840,0,7667712,5783552
case_098,4,64155,454704,1108620,0.2908571735609509,389134,0,65570,1108620,0,0,0
case_099,4,404548,7204864,5146880,0.5833074260606438,7204864,0,0,2533632,0,16384,2596864
case_100,4,49109,767564,810340,0.48644530972733446,677386,0,90178,764772,0,45568,0
case_001,5,47502,0,824960,0.0,0,0,0,820352,0,4608,0
case_002,5,54581,23040,1324032,0.01710376282782212,23040,0,0,1305600,0,0,18432
case_003,5,179646,1632018,2405900,0.4041731407126148,1075474,0,556544,1814924,0,590976,0
case_004,5,83319,0,893952,0.0,0,0,0,451584,0,442368,0
case_005,5,35497,298966,559880,0.3481019880164779,179926,0,119040,480582,0,79298,0
case_006,5,22533,549200,771800,0.4157456472369417,549132,0,68,681560,0,90240,0
case_007,5,203834,0,990720,0.0,0,0,0,880128,0,110592,0
case_008,5,71833,0,1990872,0.0,0,0,0,1990872,0,0,0
case_009,5,48320,433044,720046,0.3755509110303619,284280,0,148764,595854,0,124192,0
case_010,5,22007,348292,560218,0.3833661709832583,340096,0,8196,522202,0,38016,0
case_011,5,40551,643072,1179648,0.35280898876404493,643072,0,0,909312,0,270336,0
case_012,5,13281,143310,511318,0.21891822531269667,143298,0,12,496404,0,14914,0
case_013,5,54363,0,2056192,0.0,0,0,0,2023424,0,32768,0
case_014,5,3632901,13046784,57410424,0.18517316212700338,13046784,0,0,9928920,0,0,47481504
case_015,5,42014,252416,950018,0.2099208771541723,252416,0,0,884482,0,65536,0
case_016,5,6103967,557662,17892850,0.0302247438987059,557056,0,606,17860082,0,32768,0
case_017,5,29386,76800,785486,0.08906557685037216,76800,0,0,535118,0,250368,0
case_018,5,204343,2371584,2882836,0.4513502917543706,2371584,0,0,1592596,0,270336,1019904
case_019,5,17497,166944,346678,0.3250328062271476,132128,0,34816,307766,0,38912,0
case_020,5,107574,0,1179648,0.0,0,0,0,1179648,0,0,0
case_021,5,1249380,7858176,5928960,0.5699643493761141,7858176,0,0,2355200,0,1566720,2007040
