case,problem,eval_problem,num_cores,algorithm,variant,runtime_s,eval_s,feasible,makespan,added_copy_bytes,cache_hit_rate,baseline_makespan,n_subgraphs,error,speedup
case_005,1,1,5,ablation2,no_localsearch,0.082,1.235,True,55076,1461752,,95618,50,,1.736110102403951
case_005,1,1,5,ablation2,no_level,0.607,1.03,True,69205,1558026,,95618,153,,1.3816631746261108
case_005,1,1,5,ablation2,no_level_no_comm,0.607,0.921,True,106744,1218312,,95618,15,,0.8957693172449974
case_005,1,1,5,ablation2,max_ops500,0.562,1.305,True,57490,1246878,,95618,42,,1.6632109932162116
case_005,1,1,5,ablation2,lvl_alap,0.564,1.428,True,57787,1292864,,95618,47,,1.6546628134355479
case_005,1,1,5,ablation2,lvl_compress,0.552,1.428,True,57787,1292864,,95618,47,,1.6546628134355479
case_005,1,1,4,ablation2,full_c2,0.439,1.096,True,70741,1218758,,95618,31,,1.351663109088082
case_005,1,1,4,ablation2,no_comm,0.301,1.095,True,100810,616476,,95618,12,,0.948497172899514
case_005,1,1,4,ablation2,no_sync,0.361,1.455,True,63588,1238152,,95618,30,,1.5037113920865572
case_005,1,1,4,ablation2,no_localsearch,0.084,1.393,True,51248,1263492,,95618,40,,1.865789884483297
case_005,1,1,4,ablation2,no_level,0.465,1.074,True,84149,1558026,,95618,153,,1.1362939547707043
case_005,1,1,4,ablation2,no_level_no_comm,0.352,0.877,True,104123,991642,,95618,12,,0.9183177588044908
case_005,1,1,4,ablation2,max_ops500,0.477,1.184,True,70937,1375442,,95618,34,,1.3479284435485008
case_005,1,1,4,ablation2,lvl_alap,0.463,1.268,True,69986,1230598,,95618,33,,1.36624467750693
case_005,1,1,4,ablation2,lvl_compress,0.461,1.268,True,69986,1230598,,95618,33,,1.36624467750693
case_012,1,1,3,ablation2,full_c2,0.096,0.297,True,26845,201470,,59088,8,,2.2010802756565466
case_012,1,1,3,ablation2,no_comm,0.026,0.33,True,25912,222180,,59088,8,,2.280333436245755
case_012,1,1,3,ablation2,no_sync,0.078,0.297,True,26845,201470,,59088,8,,2.2010802756565466
case_012,1,1,3,ablation2,no_localsearch,0.02,0.3,True,25593,447566,,59088,9,,2.308756300550932
case_012,1,1,3,ablation2,no_level,0.099,0.274,True,47709,452352,,59088,126,,1.2385084575237377
case_012,1,1,3,ablation2,no_level_no_comm,0.027,0.205,True,69731,204892,,59088,9,,0.8473706099152457
case_012,1,1,3,ablation2,max_ops500,0.095,0.297,True,26845,201470,,59088,8,,2.2010802756565466
case_012,1,1,3,ablation2,lvl_alap,0.099,0.358,True,26380,634338,,59088,9,,2.2398786959818042
