case,problem,eval_problem,num_cores,algorithm,variant,runtime_s,eval_s,feasible,makespan,added_copy_bytes,cache_hit_rate,baseline_makespan,n_subgraphs,error,speedup
case_002,1,1,4,ablation2,no_level_no_comm,0.066,0.239,True,274964,184320,,261945,12,,0.9526519835323897
case_002,1,1,4,ablation2,max_ops500,0.073,0.358,True,71570,267264,,261945,13,,3.6599832331982673
case_002,1,1,4,ablation2,lvl_alap,0.087,0.338,True,82880,795648,,261945,15,,3.160533301158301
case_002,1,1,4,ablation2,lvl_compress,0.084,0.338,True,82880,795648,,261945,15,,3.160533301158301
case_004,1,1,4,ablation2,full_c2,0.042,0.148,True,104188,331776,,392357,4,,3.765855952700887
case_004,1,1,4,ablation2,no_comm,0.027,0.146,True,108427,740352,,392357,8,,3.618628201462735
case_004,1,1,4,ablation2,no_sync,0.039,0.148,True,104188,331776,,392357,4,,3.765855952700887
case_004,1,1,4,ablation2,no_localsearch,0.011,0.148,True,104188,331776,,392357,4,,3.765855952700887
case_004,1,1,4,ablation2,no_level,0.037,0.183,True,252303,12165120,,392357,111,,1.5551023967214024
case_004,1,1,4,ablation2,no_level_no_comm,0.02,0.122,True,414578,1416192,,392357,12,,0.946400918524379
case_004,1,1,4,ablation2,max_ops500,0.035,0.148,True,104188,331776,,392357,4,,3.765855952700887
case_004,1,1,4,ablation2,lvl_alap,0.039,0.148,True,104188,331776,,392357,4,,3.765855952700887
case_004,1,1,4,ablation2,lvl_compress,0.044,0.148,True,104188,331776,,392357,4,,3.765855952700887
case_004,1,1,5,ablation2,full_c2,0.065,0.116,True,88341,442368,,392357,5,,4.441391879195391
case_004,1,1,5,ablation2,no_comm,0.025,0.14,True,92463,820224,,392357,10,,4.243394655159361
case_004,1,1,5,ablation2,no_sync,0.045,0.116,True,88341,442368,,392357,5,,4.441391879195391
case_004,1,1,5,ablation2,no_localsearch,0.006,0.116,True,88341,442368,,392357,5,,4.441391879195391
case_004,1,1,5,ablation2,no_level,0.065,0.178,True,247003,12165120,,392357,111,,1.5884705853775056
case_004,1,1,5,ablation2,no_level_no_comm,0.033,0.122,True,179644,1741824,,392357,15,,2.184080737458529
case_004,1,1,5,ablation2,max_ops500,0.057,0.116,True,88341,442368,,392357,5,,4.441391879195391
case_004,1,1,5,ablation2,lvl_alap,0.056,0.116,True,88341,442368,,392357,5,,4.441391879195391
case_004,1,1,5,ablation2,lvl_compress,0.048,0.116,True,88341,442368,,392357,5,,4.441391879195391
case_002,1,1,5,ablation2,full_c2,0.112,0.308,True,60106,317952,,261945,16,,4.358050776960702
case_002,1,1,5,ablation2,no_comm,0.081,0.308,True,60106,317952,,261945,16,,4.358050776960702
case_002,1,1,5,ablation2,no_sync,0.1,0.308,True,60106,317952,,261945,16,,4.358050776960702
case_002,1,1,5,ablation2,no_localsearch,0.033,0.308,True,60106,317952,,261945,16,,4.358050776960702
