case,problem,eval_problem,num_cores,algorithm,variant,runtime_s,eval_s,feasible,makespan,added_copy_bytes,cache_hit_rate,baseline_makespan,n_subgraphs,error,speedup
case_001,1,1,5,ablation,no_sync,0.024,0.074,True,47502,4608,,233110,5,,4.9073723211654245
case_001,1,1,5,ablation,no_localsearch,0.005,0.112,True,47502,4608,,233110,5,,4.9073723211654245
case_001,1,1,5,ablation,no_cache_aware,0.035,0.09,True,47502,4608,,233110,5,,4.9073723211654245
case_001,1,1,5,ablation,no_level,0.034,0.23,True,88140,229248,,233110,200,,2.6447696845926933
case_001,3,3,5,ablation,full,0.051,0.101,True,47502,4608,0.0,233110,5,,4.9073723211654245
case_001,3,3,5,ablation,no_comm,0.025,0.09,True,50915,176640,0.06102710802343005,233110,10,,4.578415005401159
case_001,3,3,5,ablation,no_balance,0.003,0.097,True,47502,4608,0.0,233110,5,,4.9073723211654245
case_001,3,3,5,ablation,no_sync,0.033,0.091,True,47502,4608,0.0,233110,5,,4.9073723211654245
case_001,3,3,5,ablation,no_localsearch,0.005,0.089,True,47502,4608,0.0,233110,5,,4.9073723211654245
case_001,3,3,5,ablation,no_cache_aware,0.053,0.082,True,47502,4608,0.0,233110,5,,4.9073723211654245
case_001,3,3,5,ablation,no_level,0.039,0.07,True,47502,4608,0.0,233110,200,,4.9073723211654245
case_001,1,1,3,ablation,full,0.029,0.094,True,78545,2304,,233110,3,,2.9678528232223567
case_001,1,1,3,ablation,no_comm,0.014,0.131,True,83453,100608,,233110,6,,2.793308808550921
case_001,1,1,3,ablation,no_balance,0.006,0.109,True,78545,2304,,233110,3,,2.9678528232223567
case_001,1,1,3,ablation,no_sync,0.021,0.121,True,78545,2304,,233110,3,,2.9678528232223567
case_001,1,1,3,ablation,no_localsearch,0.008,0.14,True,78545,2304,,233110,3,,2.9678528232223567
case_001,1,1,3,ablation,no_cache_aware,0.031,0.115,True,78545,2304,,233110,3,,2.9678528232223567
case_001,1,1,3,ablation,no_level,0.019,0.198,True,126372,229248,,233110,200,,1.8446333048460102
case_001,1,1,2,ablation,full,0.032,0.147,True,116868,1152,,233110,2,,1.9946435294520313
case_001,1,1,2,ablation,no_comm,0.008,0.122,True,120451,38016,,233110,4,,1.935309794024126
case_001,1,1,2,ablation,no_balance,0.004,0.135,True,116868,1152,,233110,2,,1.9946435294520313
case_001,1,1,2,ablation,no_sync,0.009,0.162,True,116868,1152,,233110,2,,1.9946435294520313
case_001,1,1,2,ablation,no_localsearch,0.007,0.14,True,116868,1152,,233110,2,,1.9946435294520313
case_001,1,1,2,ablation,no_cache_aware,0.012,0.133,True,116868,1152,,233110,2,,1.9946435294520313
case_001,1,1,2,ablation,no_level,0.017,0.235,True,173100,229248,,233110,200,,1.346678220681687
case_002,2,2,4,ablation,full,0.076,0.261,True,68972,141312,,261945,13,,3.7978455025227627
case_002,2,2,4,ablation,no_comm,0.049,0.235,True,68972,141312,,261945,13,,3.7978455025227627
case_002,2,2,4,ablation,no_balance,0.017,0.145,True,69160,181248,,261945,13,,3.7875216888374785
case_002,2,2,4,ablation,no_sync,0.049,0.161,True,68972,141312,,261945,13,,3.7978455025227627
case_002,2,2,4,ablation,no_localsearch,0.019,0.156,True,68972,141312,,261945,13,,3.7978455025227627
case_002,2,2,4,ablation,no_cache_aware,0.05,0.144,True,68972,141312,,261945,13,,3.7978455025227627
case_002,2,2,4,ablation,no_level,0.048,0.164,True,218311,141312,,261945,12,,1.1998708264814875
case_002,2,2,3,ablation,full,0.044,0.19,True,92068,125952,,261945,9,,2.8451253421384193
case_002,2,2,3,ablation,no_comm,0.04,0.168,True,92068,125952,,261945,9,,2.8451253421384193
case_002,2,2,3,ablation,no_balance,0.019,0.229,True,92848,138240,,261945,9,,2.8212239358952265
case_002,2,2,3,ablation,no_sync,0.056,0.242,True,92068,125952,,261945,9,,2.8451253421384193
case_002,2,2,3,ablation,no_localsearch,0.027,0.204,True,92068,125952,,261945,9,,2.8451253421384193
case_002,2,2,3,ablation,no_cache_aware,0.038,0.159,True,92068,125952,,261945,9,,2.8451253421384193
case_002,2,2,3,ablation,no_level,0.056,0.201,True,209050,125952,,261945,9,,1.253025591963645
case_002,2,2,2,ablation,full,0.029,0.194,True,134613,75264,,261945,6,,1.9459116132914354
case_002,2,2,2,ablation,no_comm,0.03,0.206,True,134613,75264,,261945,6,,1.9459116132914354
case_002,2,2,2,ablation,no_balance,0.017,0.187,True,136209,90624,,261945,6,,1.9231108076558818
case_002,2,2,2,ablation,no_sync,0.035,0.231,True,134613,75264,,261945,6,,1.9459116132914354
case_002,2,2,2,ablation,no_localsearch,0.033,0.228,True,134613,75264,,261945,6,,1.9459116132914354
case_002,2,2,2,ablation,no_cache_aware,0.056,0.2,True,134613,75264,,261945,6,,1.9459116132914354
case_002,2,2,2,ablation,no_level,0.045,0.195,True,235944,75264,,261945,6,,1.1101998779371376
case_002,2,2,5,ablation,full,0.089,0.193,True,57042,144384,,261945,17,,4.59214263174503
case_002,2,2,5,ablation,no_comm,0.065,0.173,True,57042,144384,,261945,17,,4.59214263174503
case_002,2,2,5,ablation,no_balance,0.015,0.178,True,57143,207360,,261945,16,,4.5840260399349
case_002,2,2,5,ablation,no_sync,0.079,0.182,True,57042,144384,,261945,17,,4.59214263174503
case_002,2,2,5,ablation,no_localsearch,0.019,0.159,True,57042,144384,,261945,17,,4.59214263174503
case_002,2,2,5,ablation,no_cache_aware,0.076,0.153,True,57042,144384,,261945,17,,4.59214263174503
case_002,2,2,5,ablation,no_level,0.06,0.242,True,219838,144384,,261945,15,,1.19153649505545
case_002,3,3,2,ablation,full,0.045,0.211,True,134572,75264,0.01090909090909091,261945,6,,1.9465044734417263
case_002,3,3,2,ablation,no_comm,0.022,0.225,True,134572,75264,0.01090909090909091,261945,6,,1.9465044734417263
case_002,3,3,2,ablation,no_balance,0.015,0.209,True,136168,90624,0.010843373493975903,261945,6,,1.9236898537101228
case_002,3,3,2,ablation,no_sync,0.036,0.248,True,134572,75264,0.01090909090909091,261945,6,,1.9465044734417263
case_002,3,3,2,ablation,no_localsearch,0.027,0.233,True,134572,75264,0.01090909090909091,261945,6,,1.9465044734417263
case_002,3,3,2,ablation,no_cache_aware,0.036,0.275,True,134572,75264,0.01090909090909091,261945,6,,1.9465044734417263
case_002,3,3,2,ablation,no_level,0.041,0.243,True,235821,75264,0.01090909090909091,261945,6,,1.1107789382624957
case_002,3,3,3,ablation,full,0.058,0.212,True,92027,125952,0.02127659574468085,261945,9,,2.8463929064296347
case_002,3,3,3,ablation,no_comm,0.039,0.205,True,92027,125952,0.02127659574468085,261945,9,,2.8463929064296347
case_002,3,3,3,ablation,no_balance,0.032,0.225,True,92807,138240,0.021176470588235293,261945,9,,2.8224702878015666
case_002,3,3,3,ablation,no_sync,0.048,0.193,True,92027,125952,0.02127659574468085,261945,9,,2.8463929064296347
case_002,3,3,3,ablation,no_localsearch,0.024,0.247,True,92027,125952,0.02127659574468085,261945,9,,2.8463929064296347
case_002,3,3,3,ablation,no_cache_aware,0.046,0.22,True,92027,125952,0.02127659574468085,261945,9,,2.8463929064296347
case_002,3,3,3,ablation,no_level,0.057,0.237,True,208804,125952,0.02127659574468085,261945,9,,1.2545018294668684
case_002,3,3,5,ablation,full,0.084,0.212,True,57001,144384,0.02112676056338028,261945,17,,4.595445693935194
case_002,3,3,5,ablation,no_comm,0.076,0.156,True,57001,144384,0.02112676056338028,261945,17,,4.595445693935194
case_002,3,3,5,ablation,no_balance,0.028,0.227,True,57014,207360,0.03078677309007982,261945,16,,4.594397867190515
case_002,3,3,5,ablation,no_sync,0.091,0.18,True,57001,144384,0.02112676056338028,261945,17,,4.595445693935194
case_002,3,3,5,ablation,no_localsearch,0.023,0.197,True,57001,144384,0.02112676056338028,261945,17,,4.595445693935194
case_002,3,3,5,ablation,no_cache_aware,0.067,0.172,True,57001,144384,0.02112676056338028,261945,17,,4.595445693935194
case_002,3,3,5,ablation,no_level,0.072,0.229,True,219592,144384,0.02112676056338028,261945,15,,1.1928713250027323
case_002,3,3,4,ablation,full,0.05,0.194,True,68908,141312,0.021151586368977675,261945,13,,3.8013728449526907
case_002,3,3,4,ablation,no_comm,0.052,0.219,True,68908,141312,0.021151586368977675,261945,13,,3.8013728449526907
case_002,3,3,4,ablation,no_balance,0.016,0.244,True,69078,181248,0.02768166089965398,261945,13,,3.792017719100148
case_002,3,3,4,ablation,no_sync,0.079,0.194,True,68908,141312,0.021151586368977675,261945,13,,3.8013728449526907
case_002,3,3,4,ablation,no_localsearch,0.021,0.227,True,68908,141312,0.021151586368977675,261945,13,,3.8013728449526907
case_002,3,3,4,ablation,no_cache_aware,0.076,0.214,True,68908,141312,0.021151586368977675,261945,13,,3.8013728449526907
case_002,3,3,4,ablation,no_level,0.075,0.229,True,218065,141312,0.021151586368977675,261945,12,,1.2012244055671475
case_002,1,1,5,ablation,full,0.064,0.26,True,60679,233472,,261945,17,,4.316897114322912
case_002,1,1,5,ablation,no_comm,0.06,0.335,True,60679,233472,,261945,17,,4.316897114322912
case_002,1,1,5,ablation,no_balance,0.016,0.344,True,60106,317952,,261945,16,,4.358050776960702
case_002,1,1,5,ablation,no_sync,0.061,0.265,True,60679,233472,,261945,17,,4.316897114322912
case_002,1,1,5,ablation,no_localsearch,0.03,0.363,True,60679,233472,,261945,17,,4.316897114322912
case_002,1,1,5,ablation,no_cache_aware,0.079,0.376,True,60679,233472,,261945,17,,4.316897114322912
case_002,1,1,5,ablation,no_level,0.085,0.276,True,274763,210432,,261945,15,,0.9533488861309565
case_002,1,1,4,ablation,full,0.071,0.32,True,72534,224256,,261945,13,,3.611340888410952
case_002,1,1,4,ablation,no_comm,0.06,0.422,True,72534,224256,,261945,13,,3.611340888410952
case_002,1,1,4,ablation,no_balance,0.022,0.399,True,71570,267264,,261945,13,,3.6599832331982673
case_002,1,1,4,ablation,no_sync,0.062,0.35,True,72534,224256,,261945,13,,3.611340888410952
case_002,1,1,4,ablation,no_localsearch,0.034,0.358,True,72534,224256,,261945,13,,3.611340888410952
case_002,1,1,4,ablation,no_cache_aware,0.069,0.308,True,72534,224256,,261945,13,,3.611340888410952
case_002,1,1,4,ablation,no_level,0.049,0.251,True,273164,184320,,261945,12,,0.9589294343324889
case_002,1,1,3,ablation,full,0.051,0.385,True,93903,184320,,261945,9,,2.7895274911344687
case_002,1,1,3,ablation,no_comm,0.045,0.452,True,93903,184320,,261945,9,,2.7895274911344687
case_002,1,1,3,ablation,no_balance,0.019,0.451,True,94832,199680,,261945,9,,2.762200523030201
case_002,1,1,3,ablation,no_sync,0.055,0.44,True,93903,184320,,261945,9,,2.7895274911344687
case_002,1,1,3,ablation,no_localsearch,0.032,0.486,True,93903,184320,,261945,9,,2.7895274911344687
case_002,1,1,3,ablation,no_cache_aware,0.055,0.472,True,93903,184320,,261945,9,,2.7895274911344687
case_002,1,1,3,ablation,no_level,0.057,0.27,True,270821,141312,,261945,9,,0.9672255844266139
case_004,1,1,2,ablation,full,0.012,0.112,True,199074,110592,,392357,2,,1.9709103147573264
case_004,1,1,2,ablation,no_comm,0.007,0.156,True,200230,119808,,392357,3,,1.95953153873046
case_004,1,1,2,ablation,no_balance,0.008,0.11,True,199074,110592,,392357,2,,1.9709103147573264
case_004,1,1,2,ablation,no_sync,0.011,0.106,True,199074,110592,,392357,2,,1.9709103147573264
case_004,1,1,2,ablation,no_localsearch,0.02,0.132,True,199074,110592,,392357,2,,1.9709103147573264
case_004,1,1,2,ablation,no_cache_aware,0.012,0.113,True,199074,110592,,392357,2,,1.9709103147573264
case_004,1,1,2,ablation,no_level,0.018,0.151,True,289507,12165120,,392357,111,,1.3552591129057328
case_002,1,1,2,ablation,full,0.043,0.493,True,136165,112128,,261945,6,,1.9237322366246832
case_002,1,1,2,ablation,no_comm,0.024,0.595,True,136165,112128,,261945,6,,1.9237322366246832
case_002,1,1,2,ablation,no_balance,0.025,0.547,True,137773,133632,,261945,6,,1.9012796411488464
case_002,1,1,2,ablation,no_sync,0.029,0.471,True,136165,112128,,261945,6,,1.9237322366246832
case_002,1,1,2,ablation,no_localsearch,0.029,0.574,True,136165,112128,,261945,6,,1.9237322366246832
case_002,1,1,2,ablation,no_cache_aware,0.033,0.5,True,136165,112128,,261945,6,,1.9237322366246832
case_002,1,1,2,ablation,no_level,0.042,0.276,True,267074,93696,,261945,6,,0.9807955847443031
case_004,1,1,3,ablation,full,0.023,0.142,True,134043,221184,,392357,3,,2.927098020784375
case_004,1,1,3,ablation,no_comm,0.015,0.121,True,138311,387072,,392357,6,,2.8367736477937404
case_004,1,1,3,ablation,no_balance,0.004,0.113,True,134043,221184,,392357,3,,2.927098020784375
case_004,1,1,3,ablation,no_sync,0.021,0.122,True,134043,221184,,392357,3,,2.927098020784375
case_004,1,1,3,ablation,no_localsearch,0.008,0.14,True,134043,221184,,392357,3,,2.927098020784375
case_004,1,1,3,ablation,no_cache_aware,0.026,0.134,True,134043,221184,,392357,3,,2.927098020784375
case_004,1,1,3,ablation,no_level,0.019,0.178,True,263895,12165120,,392357,111,,1.48679209534095
case_004,1,1,4,ablation,full,0.025,0.128,True,104188,331776,,392357,4,,3.765855952700887
case_004,1,1,4,ablation,no_comm,0.023,0.116,True,108965,740352,,392357,8,,3.6007617124764835
case_004,1,1,4,ablation,no_balance,0.004,0.078,True,104188,331776,,392357,4,,3.765855952700887
case_004,1,1,4,ablation,no_sync,0.029,0.118,True,104188,331776,,392357,4,,3.765855952700887
case_004,1,1,4,ablation,no_localsearch,0.009,0.132,True,104188,331776,,392357,4,,3.765855952700887
case_004,1,1,4,ablation,no_cache_aware,0.037,0.119,True,104188,331776,,392357,4,,3.765855952700887
case_004,1,1,4,ablation,no_level,0.024,0.135,True,252303,12165120,,392357,111,,1.5551023967214024
case_004,2,2,2,ablation,full,0.012,0.08,True,199074,110592,,392357,2,,1.9709103147573264
